cell_type,class,gene,combined_score,importance,target_minus_others_mean,abs_target_minus_others_mean,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref
CNT,AKI,MT-ND3,6.881465645599178,0.064779304,-106.22938537597656,106.22938537597656,155.069,143.68445,378.91232
CNT,AKI,SPP1,4.556364698895322,0.09789848,46.54172921180725,46.54172921180725,50.98113,6.8517604,2.0270386
CNT,AKI,WFDC2,3.1905830389319476,0.06876719,46.39687967300415,46.39687967300415,58.799313,13.060884,11.743981
CNT,AKI,MT-CO3,2.753204432242427,0.047329612,-58.17086410522461,58.17086410522461,127.72961,117.22193,254.57901
CNT,AKI,MT-CO2,2.220388288755686,0.02595034,-85.56297302246094,85.56297302246094,206.34117,157.93466,425.87363
CNT,AKI,MT-CYB,1.8616739818274723,0.047511052,-39.18401908874512,39.18401908874512,64.252464,50.88505,155.98792
CNT,AKI,MT-ND1,1.6297401893880732,0.07340252,-22.202783584594727,22.202783584594727,34.435688,30.528896,82.74805
CNT,AKI,MT-ND4L,1.5465340467047994,0.099280365,-15.577441215515137,15.577441215515137,19.646067,28.157045,42.28997
CNT,AKI,MT-ND2,1.288985773629605,0.050584152,-25.48200798034668,25.48200798034668,44.46819,39.16467,100.735725
CNT,AKI,ATP1B1,1.0778285465728317,0.06517755,-16.536806106567383,16.536806106567383,17.333574,24.892464,42.848297
CNT,AKI,MT-ND5,0.8778168944677347,0.07395015,-11.870387077331543,11.870387077331543,17.030441,20.53457,37.267086
CNT,AKI,MT-CO1,0.5783945895312073,0.0070872335,-81.61077117919922,81.61077117919922,234.41788,188.85081,443.20648
CNT,AKI,FXYD2,0.5313623438493096,0.025688296,-20.68499755859375,20.68499755859375,9.800578,20.373743,40.59741
CNT,AKI,CALB1,0.4363507647996272,0.03281987,-13.29532241821289,13.29532241821289,10.369514,16.528723,30.800951
CNT,AKI,S100A6,0.42629903762742316,0.031704243,13.44611930847168,13.44611930847168,45.286823,18.130955,45.550453
CNT,AKI,DEFB1,0.40493599169470507,0.0056654853,-71.47419357299805,71.47419357299805,45.476173,56.159935,177.7408
CNT,AKI,MT-ND4,0.37723070815113147,0.018118259,-20.820472717285156,20.820472717285156,110.48074,95.2336,167.36884
CNT,AKI,S100A11,0.33323928178605655,0.03191194,10.442464113235474,10.442464113235474,18.267475,6.077084,9.572938
CNT,AKI,NEAT1,0.33106254280662384,0.08589037,3.854478120803833,3.854478120803833,8.040883,2.7376242,5.6351857
CNT,AKI,CD24,0.3254271383532181,0.043880627,7.4161916971206665,7.4161916971206665,10.569986,2.670864,3.6367252
CNT,AKI,TSPAN1,0.32306973624700197,0.058221284,5.548997074365616,5.548997074365616,6.7575545,1.5577835,0.8593314
CNT,AKI,IGFBP7,0.3216440153163873,0.054199316,5.934466361999512,5.934466361999512,26.967773,13.137495,28.92912
CNT,AKI,ITGB6,0.28000671791351595,0.09544632,2.933656558394432,2.933656558394432,3.313795,0.38774878,0.37252828
CNT,AKI,MT-ATP6,0.24653263411906323,0.011667875,-21.129180908203125,21.129180908203125,108.21023,83.00438,175.67444
CNT,AKI,WNK1,0.22756975617364894,0.05782395,-3.9355623722076416,3.9355623722076416,2.8165944,4.8133802,8.690933
CNT,AKI,LTF,0.2264571871494005,0.07579765,2.98765456979163,2.98765456979163,3.0926933,0.20250238,0.0075751333
CNT,AKI,KLK1,0.22129946601215722,0.013789989,-16.047834783792496,16.047834783792496,0.278015,2.6531377,29.998562
CNT,AKI,LCN2,0.20523729031081644,0.048329893,4.246590990573168,4.246590990573168,4.3295126,0.16142534,0.004417874
CNT,AKI,RPS4Y1,0.20308989903419272,0.16575424,1.2252470552921295,1.2252470552921295,1.6453598,0.31030786,0.52991754
CNT,AKI,MMP7,0.19990253787085716,0.007766602,25.738738179206848,25.738738179206848,28.784365,4.3901978,1.7010553
CNT,AKI,MT-ATP8,0.18360345899028552,0.08895599,-2.0639808177948,2.0639808177948,1.6235292,2.5739284,4.8010917
CNT,AKI,HMGCS2,0.17562972889992867,0.091563165,-1.9181264489889145,1.9181264489889145,0.21795018,1.0971469,3.1750064
CNT,AKI,SLC8A1,0.16289663155697554,0.07042343,2.3131027221679688,2.3131027221679688,7.817162,5.1104584,5.8976603
CNT,AKI,KNG1,0.15960038657198083,0.055033565,-2.900055408477783,2.900055408477783,0.29290676,1.6911321,4.6947923
