latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,cell_type,condition
1.7073038,1.4134283,-1.1721298,-3.7966852,1.5575622,1.5724349,2.283914,-2.9207313,-1.6354442,-0.12329089,1.3051183,-0.8966283,-0.55376494,1.4856526,2.1576893,-1.7061919,3.0517638,-0.7530026,-1.9645325,-0.81011987,-2.0834422,-0.93935627,1.2477344,3.4658558,-2.346426,-1.503454,1.5476972,-1.3005989,-1.6253695,0.104075484,0.48500845,-2.646229,CNT,AKI
-0.12373395,-1.9997522,1.2375373,0.3536979,1.1205504,1.333331,0.9202168,-0.84252423,0.5217014,-1.9042679,0.63277686,0.7888231,1.8418689,-1.7306479,-1.4970332,0.37483984,0.85952026,1.1074218,1.2022516,-2.4983954,2.5976257,-1.0072538,-2.253348,0.9601495,-0.56513166,-0.9293779,0.34244522,2.4950066,-0.9127358,-0.56865007,0.86921996,-3.0021312,CNT,Ref
-1.7517244,2.6741736,-2.5370297,-1.6321411,-2.7438045,1.1951272,-2.2979193,1.7030691,-1.4840243,-2.115906,1.1138718,-0.91033536,-3.4119184,2.0696766,-1.4285885,2.355217,-1.3974177,-1.383672,0.90474534,-1.503432,2.9545426,-3.239605,-0.46871006,-1.2105649,1.5433774,1.4811618,-1.4579377,0.07176977,-1.9754244,-0.120166935,-3.0028646,-0.8756952,CNT,Ref
1.0495119,-2.3445532,2.5944183,-0.619179,1.7505189,1.3241416,1.7206588,-1.5785192,1.1632756,-2.4839716,1.1827958,1.3309779,2.403854,-2.559614,-0.8609008,-0.89531076,1.894746,2.2014391,0.80211663,-2.5463786,3.4716377,-1.4059445,-2.9490833,2.3279777,-1.1677282,-1.9383373,0.65653497,3.0710495,-1.3630501,-0.88982,1.31253,-3.6735568,CNT,CKD
-5.1265745,5.825617,-6.8995337,-4.77216,-6.537125,0.84433436,-6.3082695,3.275818,-2.722527,-3.6963596,3.7640784,-2.2637222,-8.141706,5.727897,-1.2121888,5.516964,-1.9771512,-2.4688165,2.8077054,-1.1458546,5.0640426,-6.977706,-0.18926622,-0.89769274,1.4813232,0.25908464,-2.2319798,-0.023078404,-5.763009,-1.8939927,-6.6832757,-1.5603817,CNT,Ref
-4.48965,5.4469504,-6.201774,-4.472496,-6.480278,0.54919857,-6.5210624,3.7144985,-1.5982257,-3.9353595,3.4541154,-1.2805375,-7.444795,5.4181695,-2.1511953,4.9570665,-2.6182334,-2.0869932,3.172626,-1.9204866,7.0330033,-7.6951013,-1.0508394,-1.3012989,1.6652201,0.995572,-3.1575644,0.68958867,-5.6449256,-2.610397,-6.4847894,-1.4375339,CNT,Ref
-0.6132724,-1.1439797,0.16723257,0.43501878,0.61806107,1.2529091,0.37473887,-0.35124326,-0.24631207,-1.4146929,0.25956059,0.07163469,1.1369025,-0.714593,-1.1884884,0.86556876,0.4881003,0.2087387,0.77610576,-2.0962324,1.420562,-0.699256,-1.6076739,0.07630865,-0.32640204,-0.15874445,0.022686223,1.4590863,-0.5597323,-0.11988645,0.4604368,-2.1512437,CNT,CKD
1.313402,1.8106164,-0.9035492,-4.44001,-0.21991803,0.046259865,0.28192982,-1.1664338,1.3158648,-0.62767696,3.7312186,1.0399075,-0.77562624,1.7954016,1.629953,-1.8127985,2.504313,1.1079669,0.46544072,-0.4844949,3.0074043,-3.6500266,0.76076925,4.053651,-1.1669884,-2.312361,0.45567557,0.21159747,-3.6302145,-3.5968223,-1.8527246,-3.1612556,CNT,CKD
0.5538671,2.5779808,-4.092688,-5.750119,1.9544659,2.6014886,2.665909,-4.915273,-3.8617387,0.4943897,1.8074572,-3.0954664,-1.4559815,3.2636614,4.390896,-0.98896044,4.5298595,-3.656859,-3.5035253,0.09068388,-7.300403,-1.0832685,1.7658757,4.461664,-5.6332507,-2.7609692,3.5475361,-3.7619178,-3.0089078,0.25208378,0.9311617,-2.2375557,CNT,AKI
1.6401919,3.5072844,-3.373381,-7.1264853,1.1866907,1.2484168,2.4645386,-4.1485996,-2.0073037,0.95291257,3.3857458,-1.2420924,-1.7918819,3.7285473,4.1768365,-2.5558345,5.258829,-1.5617074,-2.0595825,0.7001135,-3.0286016,-2.354775,2.9989727,6.588023,-3.9922733,-3.996787,2.826495,-2.8342001,-3.8237522,-1.8720789,-0.26929605,-3.8772652,CNT,AKI
0.024505042,-0.26704165,-0.62343943,-1.2370905,2.3220587,1.9425677,1.7884142,-2.3415527,-1.9875417,-0.93641037,0.17439345,-1.0786597,0.73886365,0.55841047,1.6609514,-0.064914055,1.6670761,-1.9678031,-1.6006137,-1.777297,-2.8860593,-0.3388099,-0.0086613,1.0309582,-2.8869128,-0.72649604,1.1122314,-1.3186518,-0.05141195,0.53497607,1.3389078,-1.8208623,CNT,AKI
-2.0550075,1.9195626,-2.1054354,-0.09043752,-2.9247048,2.7701893,-2.143152,2.00917,-1.7320044,-1.4562206,0.17796916,-2.0046709,-1.9744593,1.4254278,-3.258097,2.9711773,-2.033206,-2.2372756,1.9672787,-1.8575735,2.3893104,-2.9628584,-0.48072624,-2.092896,3.2208166,2.0065958,-0.46592653,0.90528184,-1.7679437,1.0046899,-2.7859337,-0.83224994,CNT,Ref
