cell_type,gene,variance,variance_rank
CNT,MALAT1,71315.99372660606,1
CNT,MT-CO1,68501.72514709932,2
CNT,MT-CO2,63554.183658974696,3
CNT,MT-ND3,47933.82582771247,4
CNT,DEFB1,22579.506084543584,5
CNT,MT-CO3,20938.615298943736,6
CNT,MT-ATP6,10393.477335159962,7
CNT,MT-ND4,9486.977262947234,8
CNT,MT-CYB,8324.49373545967,9
CNT,MT-ND2,3744.476721773202,10
CNT,KLK1,3486.5075920467566,11
CNT,SPP1,3332.1142582594507,12
CNT,WFDC2,2778.216791655234,13
CNT,S100A6,2754.7644590345108,14
CNT,MT-ND1,2705.1255457623115,15
CNT,FXYD2,1803.9452359894835,16
CNT,S100A2,1683.1183116991301,17
CNT,RPL41,1217.557303553947,18
CNT,ATP1B1,1068.8239651518716,19
CNT,MT-ND4L,1061.4784760986422,20
CNT,MMP7,1046.547283597224,21
CNT,CALB1,824.5601826273416,22
CNT,IGFBP7,812.3489653651069,23
CNT,EEF1A1,617.81723757181,24
CNT,MT-ND5,547.1571903592039,25
CNT,ACTG1,482.4817414733094,26
CNT,RPL39,481.3482679629393,27
CNT,RPS12,465.1486922161631,28
CNT,RPLP1,419.86852025357103,29
CNT,TMSB4X,415.65535507063373,30
CNT,HSPA1A,405.6397239741819,31
CNT,ACTB,380.52111396027885,32
CNT,FTH1,341.7685466685833,33
CNT,B2M,334.33077068194973,34
CNT,HSPE1,334.2176307506746,35
CNT,AQP2,331.51344296452623,36
CNT,CRYAB,327.01601401244443,37
CNT,RPL10,317.9157675205653,38
CNT,RPS18,315.8363479453382,39
CNT,RPS28,310.74536402126364,40
CNT,RPS23,308.8967093682515,41
CNT,FTL,286.291259214624,42
CNT,S100A11,270.2165756942863,43
CNT,GSTP1,259.72861526102355,44
CNT,FXYD4,256.57162116465327,45
CNT,RPL28,253.26288009801726,46
CNT,KRT18,246.44574843583567,47
CNT,RPL34,241.17494567606394,48
CNT,RPL32,236.8066698883825,49
CNT,RPS4X,235.19610304170016,50
CNT,RPL11,233.27570699171133,51
CNT,RPS24,230.77241871187252,52
CNT,TMSB10,226.33622318970833,53
CNT,RPS27A,224.13930433865445,54
CNT,NDUFA4,222.51825379213892,55
CNT,IER3,221.67997614121683,56
CNT,SERF2,214.95649381021187,57
CNT,TPT1,213.43956911749152,58
CNT,STC1,207.6882467249305,59
CNT,ITM2B,206.59969681079804,60
CNT,RPL13,197.7368187006912,61
CNT,RPS27,179.82041640356948,62
CNT,RPL26,171.19740650376747,63
CNT,RPL8,166.08604170108347,64
CNT,HSD11B2,165.30251340816204,65
CNT,PTMA,163.22926415117388,66
CNT,SPINK1,156.05073053056566,67
CNT,RPS19,154.53843617833306,68
CNT,RPS15,152.847072475402,69
CNT,EIF1,149.26876994182916,70
CNT,RPL19,147.39151231304453,71
CNT,CLU,146.51214431049084,72
CNT,RPS3A,140.16485039143174,73
CNT,RPL3,139.60765686017143,74
CNT,COX7C,138.7499540939687,75
CNT,RPL7A,137.7785380797863,76
CNT,RPS13,135.9877285923708,77
CNT,FOS,134.33590357655493,78
CNT,RPL30,134.13070280690005,79
CNT,GAPDH,133.23035054978652,80
CNT,RPL12,130.9116502944702,81
CNT,HSPB1,127.86812853421176,82
CNT,HSP90AA1,123.01848334242482,83
CNT,RPL36,119.06825475073008,84
CNT,SLPI,118.15705057639873,85
CNT,COX7B,107.85381473263871,86
CNT,FAU,106.63584257764299,87
CNT,RPL24,106.41392946195144,88
CNT,UBC,103.04001492283001,89
CNT,RPS14,101.61861256927808,90
CNT,RPS26,98.41103698521876,91
CNT,RPL29,97.54483900355041,92
CNT,RPS15A,96.24262183382416,93
CNT,RPS3,94.59307610150529,94
CNT,MYL6,94.01501103887342,95
CNT,COX5B,93.3076863279899,96
CNT,RPS8,92.27046082153436,97
CNT,KRT19,91.72876396090128,98
CNT,MT2A,89.71798519997222,99
CNT,SAT1,89.06149032174481,100
CNT,RPS25,86.89798825997289,101
CNT,SLC8A1,85.27141847308962,102
CNT,H3F3B,84.97320523375446,103
CNT,RPL35A,79.82987527533439,104
CNT,AQP3,79.06585418316254,105
CNT,RPS9,78.43492751243244,106
CNT,RPS6,76.47586068455809,107
CNT,RPS7,74.99819033359006,108
CNT,RPL18A,74.2609412188786,109
CNT,S100A10,73.99569124747873,110
CNT,COX8A,73.25922231489193,111
CNT,UQCRB,71.64472976091795,112
CNT,RPL15,71.00312328824134,113
CNT,RPL18,70.91752630019644,114
CNT,KRT8,70.10853771340405,115
CNT,CD24,69.31300051590026,116
CNT,NEAT1,68.97757874783854,117
CNT,JUND,68.45412951134598,118
CNT,LCN2,68.22835286199819,119
CNT,COX6B1,67.18112656103965,120
CNT,RPL35,66.66908762681311,121
CNT,ATP5F1E,65.28292005911587,122
CNT,IER2,65.06018609973684,123
CNT,CTSD,64.64443386655503,124
CNT,RPL6,63.800391930890676,125
CNT,HSPA1B,63.26718308294708,126
CNT,ATP1A1,63.08580518789963,127
CNT,MT1G,61.80040995792484,128
CNT,RPL14,61.45353168202424,129
CNT,RPL5,60.82771054878774,130
CNT,PPIA,60.72321588007945,131
CNT,RPL37,59.51630530674453,132
CNT,COX6C,59.11210195506961,133
CNT,LDHB,58.282441989111526,134
CNT,PPDPF,58.28056059499264,135
CNT,ATP5MC3,56.87241759554435,136
CNT,TMEM52B,55.73311606970392,137
CNT,UBB,55.562043371235646,138
CNT,UMOD,54.04379969229312,139
CNT,GDF15,53.80663715687384,140
CNT,SRP14,53.14203175740079,141
CNT,CHCHD10,51.94554279480635,142
CNT,RPL21,51.728735863694546,143
CNT,CD63,51.524578405743156,144
CNT,ATP5MG,50.85087968855066,145
CNT,CYSTM1,50.47626701376666,146
CNT,COX6A1,50.420687210843944,147
CNT,UQCRH,50.25149592277293,148
CNT,MRPL33,50.04257787525391,149
CNT,MAL,48.90891302530045,150
CNT,COX4I1,47.81699484696049,151
