cell_type,gene,class,importance,n_cells_used_for_importance,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref,target_minus_others_mean,abs_target_minus_others_mean,combined_score
DCT,MT-ND3,AKI,0.06477497,400,189.78166,150.70975,473.3299,-122.2381591796875,122.2381591796875,7.917972816244401
DCT,SPP1,AKI,0.08166062,400,96.592094,29.662405,49.512512,57.00463581085205,57.00463581085205,4.655033952680149
DCT,DEFB1,AKI,0.037712652,400,73.634705,67.74938,200.72893,-60.60445022583008,60.60445022583008,2.2855545553342296
DCT,MT-ND2,AKI,0.032642074,400,57.121506,45.923218,157.83904,-44.759620666503906,44.759620666503906,1.4610468468438853
DCT,MT-ND4L,AKI,0.12135563,400,22.403568,28.033514,39.64379,-11.435084342956543,11.435084342956543,1.3877118697730495
DCT,MT-CYB,AKI,0.04153746,400,81.541626,50.362713,176.72307,-32.001264572143555,32.001264572143555,1.3292512451857377
DCT,MT-CO3,AKI,0.029222582,400,182.49068,125.15074,328.105,-44.13719940185547,44.13719940185547,1.289802908272776
DCT,IGFBP7,AKI,0.06111962,400,38.77157,13.097249,22.881887,20.782000064849854,20.782000064849854,1.2701879417522637
DCT,FXYD2,AKI,0.06171746,400,32.332474,31.163492,72.41964,-19.459092140197754,19.459092140197754,1.2009657757205439
DCT,MT-CO1,AKI,0.023149168,400,305.42166,189.436,508.3719,-43.48228454589844,43.48228454589844,1.006578715144002
DCT,MT-ND5,AKI,0.069294326,400,22.590296,22.450237,47.94404,-12.606842041015625,12.606842041015625,0.8735826223135064
DCT,MT-CO2,AKI,0.016486537,400,238.21295,149.21342,432.4239,-52.60570526123047,52.60570526123047,0.8672858910212256
DCT,MALAT1,AKI,0.011862002,400,164.33507,107.60673,329.94012,-54.438358306884766,54.438358306884766,0.6457479321596509
DCT,KNG1,AKI,0.07460348,400,6.6090655,7.6297445,21.884153,-8.147883415222168,8.147883415222168,0.607860482512379
DCT,WFDC2,AKI,0.024878746,400,17.602163,4.391196,0.8032159,15.004957467317581,15.004957467317581,0.37330452404876063
DCT,ATP1B1,AKI,0.04785109,400,25.949978,22.088305,43.045982,-6.617165565490723,6.617165565490723,0.31663858097036623
DCT,CD24,AKI,0.039323222,400,10.643838,2.54297,2.7098782,8.017413854598999,8.017413854598999,0.31527054400534116
DCT,MT-ATP6,AKI,0.013694737,400,140.83736,88.689964,231.33257,-19.173908233642578,19.173908233642578,0.26258163256507316
DCT,MT-ND1,AKI,0.0058755116,400,52.898746,37.658318,154.1705,-43.015663146972656,43.015663146972656,0.2527390261064433
