latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,cell_type,condition
-0.83606285,-2.0132718,0.93069094,-1.1988633,0.70715636,-1.042089,-1.2578962,1.5632058,2.1999178,-1.1593171,1.5304853,-2.8057253,3.634606,-1.3026841,2.271259,-2.9450235,2.6635427,-2.8427474,1.0114019,-1.9953898,-2.5765166,3.2521732,-1.2178702,0.6547095,1.0085872,0.28114372,-0.3448125,-3.2129107,-2.0074508,1.8072064,-2.8931785,-2.7907236,DCT,AKI
3.3950043,-2.9350486,2.6419625,-4.803597,-4.3898077,1.0574354,6.156839,3.219479,-2.9747057,-1.8156683,-3.5624604,5.5039606,-3.5495427,0.86863476,-0.08758377,2.672232,-2.3429422,3.2201438,-3.1907282,2.8261926,3.7908783,0.40450597,-0.5962804,-2.9750516,6.3561025,0.23334533,-2.826275,-1.1748691,6.617784,1.7708251,0.93195975,1.5096765,DCT,Ref
-0.7391267,-2.6350393,0.72842103,-2.2234325,1.7800667,1.3967513,3.4557223,1.2903742,4.407209,-1.9605942,-0.96955305,-2.4772694,2.9400303,-2.3209455,5.1414857,-1.4608203,3.1003792,-3.9693182,4.743801,-3.204152,-3.0114584,5.6775365,-3.3534908,1.0827483,5.287349,-0.46613684,-3.839529,-1.7567545,-0.7268429,2.4389403,-2.8575242,-3.240962,DCT,AKI
-0.4802829,-1.8695136,1.0158513,-0.8901674,0.14139035,-0.94324684,-0.71873647,1.5701705,0.8942244,-0.4559195,1.0557241,-1.9485923,2.3043094,-0.7554885,1.5479319,-2.10698,1.9480802,-1.9642107,0.09396505,-1.5429358,-1.7128593,2.2911143,-0.68624616,0.2947119,1.0593729,0.019680932,-0.29051152,-2.4862862,-1.2627069,1.3870645,-2.0126667,-2.1243432,DCT,AKI
1.6163775,-0.5577025,-0.25969326,-1.4480383,1.123484,-2.2623434,-1.0005566,-0.069469675,-0.5819466,-0.7689905,0.8766321,1.1130561,1.1007528,1.4921573,-0.7908062,0.2300382,-0.17338577,0.61902434,-0.20653942,1.6950543,-0.4962305,-0.300838,-0.3007496,0.8092437,0.90997696,0.91389656,0.90314835,-1.7114173,-0.89740247,-1.1129926,0.59144366,-0.8977123,DCT,CKD
2.208974,0.02308121,-1.0203907,-2.3016706,2.0768654,-2.785091,-1.9189848,-0.80432385,0.055288687,-1.6928271,1.8900497,1.267836,1.9547229,1.8417953,-0.9864153,0.66490567,0.14884484,0.55305713,0.6843112,2.5761068,-1.3579035,-0.79140353,-1.093437,1.8901985,0.909707,1.7004609,1.4340167,-2.2488208,-1.6078298,-2.0082605,1.1293697,-1.1402361,DCT,CKD
2.2886622,-0.9534043,2.4535446,-2.4883413,-3.1882112,-1.1382258,3.8048728,3.0699687,-3.8225703,1.5682439,-3.7390168,3.5271072,-2.3448472,3.5604355,-1.1531605,1.6989502,-2.7797,3.992869,-3.3466218,1.528306,3.4833198,-0.1495714,0.96736586,-2.780854,3.7063255,-0.2777601,-2.1292326,-0.871756,4.4106913,-0.10945209,0.851265,0.39702067,DCT,Ref
1.8582692,1.3172762,-0.9895351,-2.6469486,1.2017466,-0.9855072,0.05734047,-0.71349275,0.24370268,-1.5001256,1.1567992,1.0505728,1.5776602,1.3978478,-0.63062966,1.2165596,0.25654086,0.75280327,0.5311508,1.8640345,-0.8947905,-1.082202,-2.086106,1.4179872,1.027025,1.8441589,0.025589332,-1.4404485,-0.05363273,-1.9927527,1.565809,-0.0303054,DCT,CKD
-1.0387182,-1.5879507,1.2999344,-1.088836,-0.079322055,0.9667221,1.6296877,1.7837123,1.9125609,-0.49002862,-0.55501705,-2.1474087,1.7848611,-1.2522517,3.0242438,-1.5850526,2.3664868,-2.3597634,1.8578297,-2.4939113,-2.4382308,3.5541756,-1.8429359,0.11925917,2.6122754,-0.71552396,-2.0339518,-1.6155733,-0.3495684,2.435015,-2.4437065,-1.9442159,DCT,AKI
-1.0357996,-2.2665687,2.1707566,-1.0757198,-0.5969412,0.18664669,0.8017173,2.6727643,1.8419424,-0.42374057,0.14626387,-3.2797995,2.5302932,-1.5582123,3.0181143,-2.651007,3.3511517,-3.3892179,1.1599178,-3.3192487,-3.1556864,3.993762,-1.2688766,0.38539124,2.1612923,-0.5779443,-1.3430219,-2.5885742,-1.1264299,2.8612208,-3.1540527,-2.7436001,DCT,AKI
-0.6561589,-1.6850562,1.2116077,-0.64412516,-0.09864253,-0.4266328,-0.22815731,1.8342264,1.6339545,-0.5241303,0.6909837,-2.4633012,2.5128176,-1.3693057,1.9755877,-2.4058645,2.3524015,-2.3594596,0.64986604,-2.211462,-2.123935,2.8079145,-1.0506847,0.24630874,1.0752634,-0.23497708,-0.66380936,-2.3887393,-1.2098486,2.15947,-2.35511,-2.151236,DCT,AKI
-0.71736586,-1.8585467,1.7355732,-0.702783,-0.8051252,-0.08470163,0.398567,2.26294,0.7671591,-0.09445426,0.28615183,-2.6421282,1.7509528,-1.143319,1.9708747,-1.8893868,2.629533,-2.4068966,0.26224446,-2.4142802,-2.430326,2.7914484,-0.74327075,0.43523788,1.4753993,-0.5038417,-0.54049003,-2.0220468,-0.8067745,2.0083697,-2.1037717,-2.2055914,DCT,AKI
2.5049086,-1.2618525,1.7128339,-2.9936619,-2.9586105,0.10664843,3.6376488,2.2680607,-2.5467527,-0.57424694,-2.4492328,3.605736,-2.3354354,1.3334752,-0.6920518,1.814271,-1.9396281,2.6487317,-2.6540327,1.8523585,2.846447,-0.3410818,-0.14343697,-2.1131082,3.5943322,0.2560103,-1.6015013,-0.77822995,4.2331815,0.74649984,0.7923899,1.0438834,DCT,Ref
-0.722072,-2.0087214,1.1588212,-1.0256994,0.07441835,-0.7149362,-0.8519249,1.7482829,1.4686134,-0.70293784,1.1541997,-2.5850492,2.7774496,-1.2236471,2.0197623,-2.486601,2.6259108,-2.538198,0.5146251,-2.0774765,-2.22332,2.747745,-0.9548931,0.4970598,1.1360421,0.013231576,-0.43362632,-2.6993947,-1.5147268,1.7396752,-2.4551663,-2.5924096,DCT,AKI
2.395002,-0.04918295,-0.7974027,-2.0857453,1.7133397,-2.8379064,-1.407974,-0.55615205,-0.4106069,-1.3577837,1.3392515,1.7788694,1.4189346,2.0592773,-1.2872488,0.81811917,-0.39830256,0.9980454,0.19833633,2.674237,-0.70002913,-0.93141484,-0.75607663,1.4367573,1.0320888,1.4132333,1.3760157,-1.9559287,-1.13731,-1.9497896,1.3897117,-0.82235533,DCT,CKD
2.6009395,0.53516805,-1.0977677,-2.2604191,1.8740858,-2.6408668,-1.2935232,-0.9140009,-0.25511044,-1.5518957,1.4683574,1.8857188,1.3939946,2.233569,-1.544693,1.1547529,-0.4879953,1.1303715,0.45092306,2.9295318,-0.88906103,-1.271658,-1.19757,1.7972126,0.99711883,1.5648476,1.4255265,-1.8427392,-1.0952312,-2.2909634,1.7628458,-0.54425913,DCT,CKD
-0.36912498,-0.9588927,0.699537,-0.7783265,0.06167295,0.361574,1.0637393,1.3115746,1.4929594,-0.4400516,-0.2937403,-1.3481807,1.4507892,-0.85730207,1.8211976,-1.240612,1.4192697,-1.780358,1.275426,-1.5513968,-1.5417961,2.199591,-1.3210559,0.16673392,1.6450597,-0.32844064,-1.2511292,-1.2019416,-0.37170637,1.4103793,-1.4595898,-1.1663306,DCT,AKI
