latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,cell_type,condition
0.2716105,1.4261467,0.79867876,1.5862936,-0.16130343,0.08308293,0.121119045,0.6437924,-0.621051,-1.6611034,0.27811617,-0.8268615,2.2434251,0.8161734,1.5001085,1.565447,-2.1530995,-1.4650325,-0.60078645,-0.23296523,1.8125099,-1.6361425,-1.8315408,-1.6914237,1.6246061,0.8415873,1.5141399,-2.294877,-0.3650164,-1.9580638,-1.4898424,-0.88618356,EC,CKD
-0.7386297,-2.9405499,-2.7328687,3.4388032,4.1597347,3.7892542,-3.5637026,2.4132264,-3.5337007,-2.3351183,-2.2317142,0.7913102,0.77267265,-2.055107,-0.07375805,0.76738995,1.8917353,2.210157,0.8308028,1.2905145,-3.3187387,3.3688185,0.9161523,3.9094844,1.2934527,1.1562183,-5.161193,-0.43387723,3.1685452,2.1061192,4.359964,3.0658522,EC,Ref
0.44173035,0.24397428,0.22367027,0.90927905,-0.017351205,0.037977066,0.14586492,0.28946915,0.005252242,-0.67739284,-0.28310245,-0.39906064,1.0967938,0.6759982,0.88237107,0.5840112,-1.1047342,-1.0453051,-0.67863643,-0.26599506,1.047392,-0.90088284,-0.91082,-1.0086108,1.0642117,0.82432127,0.7856402,-1.210912,-0.5043422,-0.7167955,-0.5269567,-0.80414116,EC,CKD
3.432967,-1.5101475,-2.3937602,0.46309486,-0.79850644,1.4509149,2.1849973,-1.0268893,4.112134,2.8841352,-3.2875335,-2.6408827,0.9563717,2.511033,-1.163977,-2.258725,-1.7118018,-1.8514972,-3.7195487,-2.6337159,1.5793387,-1.673985,-2.0162902,-1.1804308,3.2161124,0.38076815,2.2727132,-0.83441424,-2.781069,-0.18099712,-0.2338614,-2.0199423,EC,AKI
1.9903281,-1.6739407,-1.5743096,0.43085808,0.61550206,1.0870103,0.66474503,-0.3572717,1.6633575,1.275336,-2.2143877,-0.80189407,0.5544719,1.1759983,-0.6836165,-1.3274105,-0.7918758,-1.2079676,-1.2473507,-1.0550944,0.2941463,-0.63207847,-0.7914447,-0.124584824,2.0311697,0.80892086,0.568781,-0.48399106,-1.1800028,1.0473859,0.42866266,-0.9213501,EC,AKI
-0.24849236,-3.371845,-3.569574,3.6158323,4.465148,3.8979342,-3.650818,2.1323109,-4.165832,-2.4950604,-2.7239838,1.4788532,0.7985891,-2.491383,-0.17108235,0.39279404,2.1265152,3.0232012,1.449017,1.7233037,-4.2341475,4.1266036,1.4793156,4.006679,0.7254749,0.9391986,-5.409915,-0.64276564,3.1580207,3.0886548,5.235685,3.633098,EC,Ref
2.0091772,-1.7969381,-0.9077221,-0.21908057,-0.82771814,0.8085102,1.3268354,-1.3444698,2.085166,1.6311387,-1.5163765,-1.1760308,-0.70770466,1.3297685,0.10914391,-1.5686673,-1.2798607,-0.7035222,-1.5996058,-1.8764644,0.9177244,-0.35209635,-0.9289821,-1.4696834,0.99025315,0.8187714,1.2948501,0.22276032,-2.041116,-0.26659366,0.4385792,-1.150215,EC,AKI
-1.2192242,2.3389747,0.85715383,1.9974782,-0.31005564,-1.5733612,-0.10316164,1.677764,-1.3406686,-2.2358768,0.4890524,-1.1922997,3.3892658,1.9462714,2.4350402,2.2199035,-1.269743,-2.2056327,-0.976856,0.63099605,2.3825572,-1.2063947,-0.5491576,-1.8966349,1.657652,1.0857556,1.7574211,-2.6350868,-0.72979325,-1.144893,-1.5011985,-1.0178032,EC,CKD
3.4987566,-1.6507596,-1.9325727,0.59714574,-0.64702964,1.8910284,1.950082,-1.1419814,3.695638,2.5060935,-3.0264692,-2.062824,0.5632431,2.1586194,-0.9325448,-2.0632715,-1.7139318,-1.8530368,-3.0127215,-2.443547,1.2888373,-1.7951049,-1.8252076,-1.2515618,2.88496,0.59848565,1.9733407,-0.963995,-2.5345209,-0.6615781,-0.070928864,-1.8377624,EC,AKI
-1.3818887,-0.11453846,-0.22882703,1.9074359,1.4038105,0.8592456,-1.8235699,1.4085608,-2.7173011,-2.5303779,0.1320205,-0.3828461,1.4991052,-0.47690976,2.1140373,1.704177,-0.13294248,0.12764584,0.21023406,0.7809766,-0.24744545,1.3622206,0.37259734,0.4839035,0.29027322,1.1247237,-1.6512975,-0.89216745,1.222491,-0.27804488,0.85115683,0.8655573,EC,Ref
