cell_type,gene,variance,variance_rank
EC,MALAT1,9930.201469797223,1
EC,MT-ND3,9859.869068622309,2
EC,MT-CO1,8109.867798644564,3
EC,MT-CO2,6609.016932137731,4
EC,MT-CO3,4057.791771031395,5
EC,MT-ATP6,2975.4911285114968,6
EC,MT-ND4,2410.6854418177413,7
EC,IGFBP5,2157.733003519861,8
EC,MT-CYB,1290.125927637044,9
EC,B2M,1235.8328893004482,10
EC,MT-ND2,948.3578731299393,11
EC,SPP1,880.1058340669096,12
EC,MT2A,589.4893315351645,13
EC,MT-ND1,413.59431747481597,14
EC,S100A6,347.90877450534117,15
EC,TMSB10,345.8268812257064,16
EC,TMSB4X,311.1994635364267,17
EC,MT-ND4L,290.30408188261663,18
EC,TIMP3,247.50376363710268,19
EC,MGP,230.75836464449827,20
EC,EEF1A1,192.8766579914125,21
EC,RPL41,142.0683603606759,22
EC,RPL10,129.57954619784113,23
EC,MT-ND5,127.51522887407876,24
EC,EMCN,126.59187511062743,25
EC,CD74,119.76538446686139,26
EC,PTMA,115.64163820486941,27
EC,TPT1,103.32261489219154,28
EC,DEFB1,101.88344404510492,29
EC,CCL21,94.80852341467372,30
EC,RPS12,94.60840366284174,31
EC,RPS28,91.26085841739973,32
EC,IFI27,86.68378725578519,33
EC,RPLP1,86.08487857552402,34
EC,RPS18,85.22898622496015,35
EC,IGFBP7,84.89143499992615,36
EC,WFDC2,76.61614015465886,37
EC,UMOD,74.91439199969786,38
EC,RPS27A,74.05867147824961,39
EC,RPS27,72.1334463822111,40
EC,HLA-B,70.85020357538153,41
EC,RPL32,70.45007046423673,42
EC,RPL34,69.23019711820164,43
EC,RPL13,68.05547296772383,44
EC,FTH1,67.43323870573933,45
EC,RPS23,66.3331867078557,46
EC,RPL39,65.02766418455971,47
EC,RPL30,64.93317101872535,48
EC,SRP14,59.35947157581826,49
EC,RPL11,56.53188340172743,50
EC,FXYD2,54.46896308905958,51
EC,RPS24,52.18535404317896,52
EC,SLC9A3R2,50.158733204173785,53
EC,ITM2B,45.94571687028855,54
EC,AQP1,44.616380098174574,55
EC,ACTB,44.433364233376004,56
EC,IFITM3,44.33175568364595,57
EC,FTL,43.147298611381785,58
EC,RNASE1,41.73906188352854,59
EC,RPS19,41.25021047525711,60
EC,RPL28,39.98101133085012,61
EC,RPL26,39.842690800538826,62
EC,VIM,39.51572772635454,63
EC,RPL19,38.72226313373423,64
EC,MT1G,37.985124306120824,65
EC,RPS3A,37.41218731185003,66
EC,RPS8,37.06544386387263,67
EC,FOS,36.83618569599527,68
EC,RPS15A,36.634854365162234,69
EC,HLA-DRB1,36.4341261842513,70
EC,RPS4X,35.82697855944217,71
EC,HSPA1A,35.51776764251773,72
EC,RPL3,35.105032662200855,73
EC,RPS15,35.05869757006774,74
EC,S100A4,34.31990620643688,75
EC,RPL36,34.16440033955867,76
EC,HLA-E,33.8558070898076,77
EC,HLA-DRA,33.42977093399176,78
EC,CRHBP,31.947524478431898,79
EC,RPS13,31.857530428035446,80
EC,TGFBR2,31.289648988251734,81
EC,RPS3,30.017321874968083,82
EC,EIF1,29.98298566031704,83
EC,RPL8,29.23691866051247,84
EC,MYL6,29.06051404381609,85
EC,FAU,28.853892258716506,86
EC,PLAT,28.129061404538387,87
EC,RPS14,27.941254778016237,88
EC,LGALS1,27.66040907631323,89
EC,RPL35A,26.014460244981734,90
EC,RAMP2,25.659661659790956,91
EC,NEAT1,25.55237420894433,92
EC,HLA-C,25.501617789626266,93
EC,RPL7A,25.44752030040388,94
EC,A2M,24.22854314359607,95
EC,ID1,24.15586667412806,96
EC,EPAS1,23.83318233052863,97
EC,MT1X,23.6849863467427,98
EC,SERF2,22.971009490299394,99
EC,RPL18A,22.92938353506309,100
EC,RPL29,22.863161026352785,101
EC,RPS6,22.70989187349767,102
EC,SPARC,22.644439901597174,103
EC,H3F3B,22.057410914102974,104
EC,RPL24,22.042121728284258,105
EC,JUND,21.984042015059693,106
EC,MT1M,21.865006066345956,107
EC,GNG11,21.83981207049887,108
EC,RPL37,21.53165844159289,109
EC,JUNB,21.444034459644254,110
EC,RPS7,21.386878202532337,111
EC,RPL18,21.15619845089059,112
EC,RPS25,20.88596522839014,113
EC,ZFP36,20.85567608045238,114
EC,TXNIP,20.603347863344595,115
EC,FCN3,20.479594848974383,116
EC,RGCC,19.931313909342553,117
EC,ACTG1,19.43770973094601,118
EC,TM4SF1,19.171348303706193,119
EC,RPL12,19.01398589254678,120
EC,RPS9,18.83877789228567,121
EC,HLA-A,18.78563331331174,122
EC,ADIRF,18.249894734358538,123
EC,CEBPD,17.469262622395014,124
EC,CLDN5,17.46707962531856,125
EC,RBP7,17.32283170945824,126
EC,CD81,16.961089592756288,127
EC,RPS21,16.84566632619138,128
EC,VWF,16.193829040959375,129
EC,RPL9,16.07173305826359,130
EC,S100A10,16.064107159409723,131
EC,RPL15,15.893651639246151,132
EC,JUN,15.872007894946071,133
EC,RPS26,15.683769650995593,134
EC,FN1,15.559868760499427,135
EC,MYL12B,15.036128790422238,136
EC,SPARCL1,15.023294253009976,137
EC,MYL12A,14.979023020628855,138
EC,CALM1,14.655783568488738,139
EC,DUSP1,14.648083572556676,140
EC,RPL35,14.040625789547011,141
EC,APP,13.730443563724473,142
EC,S100A11,13.29888932688701,143
EC,RPL14,12.978917753841333,144
EC,MT1E,12.842019561863118,145
EC,PLPP3,12.18825601037728,146
EC,PLPP1,12.163986749002088,147
EC,NACA,12.101189025511488,148
EC,PPAP2B,12.060911987517597,149
EC,H3F3A,12.011810679882988,150
EC,GSN,11.8663250180489,151
EC,SPTBN1,11.828332337590378,152
EC,EGFL7,11.798425945403242,153
EC,TSC22D1,11.675858073425907,154
EC,CD9,11.64345176431928,155
EC,IL6ST,11.599239980940428,156
EC,RPL21,11.576693900348134,157
EC,FABP4,11.545123482490725,158
EC,ENG,11.513381896149692,159
EC,HSP90AA1,11.419308959196615,160
EC,RPS29,11.410662843138809,161
EC,RPL5,11.316405130496324,162
EC,ATP5F1E,11.241145475744617,163
EC,GAPDH,11.23607046692918,164
EC,ID3,11.040469735011964,165
EC,PPAP2A,11.029336253996558,166
EC,MMP7,10.54304171098349,167
EC,IL1RL1,10.36021702218007,168
EC,SERPINE2,10.307338740571897,169
EC,KLF2,10.187378382185303,170
EC,RPL6,10.093739812397246,171
EC,CLU,10.088823128522113,172
EC,SDPR,9.848297049838175,173
EC,SOST,9.831496016881761,174
EC,RPLP2,9.548548149676893,175
EC,GLUL,9.390187607126293,176
EC,CCL14,9.344375935037094,177
EC,HLA-DPA1,9.311452416113159,178
EC,UBC,9.26141166553247,179
EC,IGFBP4,9.100428841210139,180
EC,CAVIN2,8.99057700005265,181
EC,IFITM2,8.987791996712701,182
EC,ITGB1,8.960448420770412,183
EC,RPL22,8.583308896777911,184
EC,HSPG2,8.531250889084198,185
EC,HYAL2,8.422307124677715,186
EC,CD59,8.392947297056084,187
EC,CXCL9,8.300902660002416,188
EC,PTPRB,8.263351354168574,189
EC,GSTP1,8.204711228527295,190
EC,PLVAP,8.087619583696835,191
EC,HMGB1,7.957791422290461,192
EC,RAMP3,7.87827214922165,193
EC,ATP1B1,7.85127796206021,194
EC,PPIA,7.8424784984424765,195
EC,PODXL,7.766734669029119,196
EC,CRIP2,7.541628897306935,197
EC,RPS5,7.533756768751409,198
EC,C11orf96,7.461698711150569,199
EC,FLT1,7.4227586413520665,200
EC,SYNE1,7.4193324714333375,201
EC,UBB,7.380488515328588,202
EC,RPL27,7.346538649554235,203
EC,CD63,7.325266652757103,204
EC,EMP3,7.285440426016191,205
EC,BST2,7.168436946863632,206
EC,HSPB1,7.125939392247257,207
EC,SGK1,7.078915243778056,208
EC,DNASE1L3,7.048288602106979,209
EC,RACK1,7.019814032711279,210
EC,RPL23A,6.912915469383076,211
EC,PFDN5,6.910456681659934,212
EC,RPS10,6.901800562157026,213
EC,RHOB,6.766432413799658,214
EC,SOX18,6.567619762021513,215
EC,VAMP5,6.4887308855392325,216
EC,NDUFA4,6.403395398204632,217
EC,UBA52,6.3870050072916245,218
EC,FKBP1A,6.377731126238528,219
EC,SYNE2,6.369903244019561,220
EC,HLA-DRB5,6.261888083459155,221
EC,IER2,6.20298667630136,222
EC,KCTD12,6.108020789377777,223
EC,RPL37A,6.082894778896497,224
EC,GNAS,5.979509461524688,225
EC,GPR116,5.922836778897606,226
EC,ENPP2,5.880206554172482,227
EC,MT-ATP8,5.871024631540085,228
EC,SEC14L1,5.811885373590967,229
EC,RPS2,5.803592454984182,230
EC,DYNLL1,5.710058848642687,231
EC,RGS5,5.664975449606146,232
EC,RPL38,5.615373214503919,233
EC,ANXA2,5.60354024001202,234
EC,POMP,5.577541809657424,235
EC,ADGRF5,5.541176472107218,236
EC,CALD1,5.458345215785813,237
EC,PECAM1,5.433679958749742,238
EC,PFN1,5.4030994277360715,239
EC,RPL10A,5.371275711659316,240
EC,MARCKS,5.269061338553792,241
EC,COX7C,5.2563432701594435,242
EC,DDX5,5.240420895637499,243
EC,ACKR1,5.197199842992359,244
EC,ATP5E,5.159519852975301,245
EC,EEF1D,5.086305102072149,246
EC,EHD3,5.077446991373023,247
EC,FOSB,5.06397564186857,248
EC,SLC14A1,5.060001959480499,249
EC,CFL1,5.016734379336014,250
EC,RPL27A,5.009582791718401,251
EC,TMA7,4.889251571214414,252
EC,APOE,4.800324655125935,253
EC,LIFR,4.773046254414785,254
EC,SPRY1,4.766833731950551,255
EC,PTMS,4.644309466228528,256
EC,HLA-DPB1,4.609618399399078,257
EC,ESM1,4.587945012001524,258
EC,CALM2,4.528909464301391,259
EC,IGFBP3,4.502734768296643,260
EC,H19,4.483225539833355,261
EC,PRDX1,4.423997171674815,262
EC,SUMO2,4.4198423350935,263
EC,RPS11,4.401437381527524,264
EC,S100A2,4.40011591575225,265
EC,TIMP1,4.358270263234739,266
EC,CNN3,4.303021842752392,267
EC,ANXA1,4.284307614073542,268
EC,EGR1,4.258522442415444,269
EC,TAGLN2,4.229971022839506,270
EC,HINT1,4.2030121496630155,271
EC,RAC1,4.173070559014158,272
EC,GPX3,4.169824127463388,273
EC,GNAI2,4.144845376422172,274
EC,DSTN,4.117304995274212,275
EC,RPL36AL,4.096202306457622,276
EC,SLC12A1,4.0509015893373395,277
EC,IL32,4.021051899327039,278
EC,UQCRB,3.9702312647390237,279
EC,COX6C,3.9679115692029585,280
EC,COX5B,3.84894794812702,281
EC,POLR2L,3.844757976848309,282
EC,GNB2L1,3.8357111553573233,283
EC,TCIM,3.8333004334476084,284
EC,SH3BGRL3,3.78359516340935,285
EC,SLCO2A1,3.7687680852350747,286
EC,RPL17,3.7444772516498097,287
EC,MEIS2,3.7358110383980763,288
EC,CD93,3.734423707035466,289
EC,GADD45B,3.7280233458979875,290
EC,ARGLU1,3.7262028184183746,291
EC,RPS16,3.6923288416332762,292
EC,CALCRL,3.675879881425228,293
EC,BTF3,3.671345708797567,294
EC,AHNAK,3.6628353713629616,295
EC,CCL2,3.658157937820952,296
EC,GUK1,3.647955337946657,297
EC,SRGN,3.6477783475370082,298
EC,UBL5,3.6304586819363984,299
EC,FAM167B,3.5689220006844646,300
EC,ETS2,3.5542121288529547,301
EC,TMEM88,3.466208164889803,302
EC,CD34,3.4532749238294036,303
EC,MRPL33,3.373888494514832,304
EC,DDX17,3.3594008039861443,305
EC,KDR,3.3575670850550243,306
EC,CYR61,3.3416336868397667,307
EC,NPDC1,3.2910143799500045,308
EC,RHOC,3.27331715362084,309
EC,SKP1,3.270775744738571,310
EC,CALB1,3.267518206845452,311
EC,HSP90AB1,3.2400933012782525,312
EC,CHCHD2,3.2396618681209244,313
EC,MGST3,3.2009037880048923,314
EC,CLIC1,3.1513507377008203,315
EC,ABI3BP,3.144870696533307,316
EC,SAT1,3.132688278049076,317
EC,CRYAB,3.1286759656327816,318
EC,CAV1,3.105687949910293,319
EC,LAPTM4A,3.0964333369356742,320
EC,RPL13A,3.088522123080601,321
EC,TOMM7,3.0810798517376456,322
EC,HSP90B1,3.0283982949834387,323
EC,XIST,3.0255159634847444,324
EC,CCDC85B,3.015309952827924,325
EC,HNRNPA2B1,3.012917834150019,326
EC,LMNA,3.008652910920062,327
EC,GPX1,3.0081303834787683,328
EC,ATP1A1,2.9852761715413747,329
EC,RHOA,2.957064348062598,330
EC,EDF1,2.9535897139490785,331
EC,HNRNPH1,2.9162258653002526,332
EC,PBX1,2.911607996660929,333
EC,APOLD1,2.9026707996358625,334
EC,HEG1,2.863169574021838,335
EC,COX6B1,2.8569264383466586,336
EC,GAS6,2.8422257723854845,337
EC,ADGRL4,2.793939381385197,338
EC,CDC42,2.790127592126149,339
EC,ISG15,2.787270949309059,340
EC,SLC6A6,2.785847986379732,341
EC,OAZ1,2.779209082186683,342
EC,CCND1,2.777587383324534,343
EC,HES1,2.7535753377323196,344
EC,TSC22D3,2.7472061470018083,345
EC,RPLP0,2.7312422432446652,346
EC,MIF,2.722233095270666,347
EC,TUBA1B,2.718560554226465,348
EC,YBX1,2.7045924844912,349
EC,SH3BP5,2.7034451267527735,350
EC,UTRN,2.7027976912160243,351
EC,RPSA,2.6944337047362197,352
EC,CTNNB1,2.6816311583326025,353
EC,RPL7,2.678689670149918,354
EC,COX7A2,2.6631118119292885,355
EC,SEC62,2.6473090879570096,356
EC,SOCS3,2.644850180227432,357
EC,UACA,2.64049842992076,358
EC,ELOB,2.6364214320569923,359
EC,OST4,2.6344488792215692,360
EC,CXCL12,2.6325154014490555,361
EC,MTRNR2L8,2.618910269094247,362
EC,COL4A1,2.615092623664439,363
EC,YWHAB,2.591036011753953,364
EC,ZFP36L1,2.587239269679591,365
EC,CA4,2.551912813798322,366
EC,COX4I1,2.539676847820989,367
EC,PPDPF,2.534873629227312,368
EC,MSN,2.484628830996012,369
EC,AKAP12,2.46415589048789,370
EC,TMBIM6,2.4548910760097526,371
EC,RRAS,2.447507021345946,372
EC,GPX4,2.439328493652668,373
EC,RPL36A,2.430170309071444,374
EC,EEF1B2,2.4144568018037535,375
EC,ETS1,2.413714656287342,376
EC,KTN1,2.4054296824581334,377
EC,COX8A,2.398294873604324,378
EC,TM4SF18,2.387583227753379,379
EC,ATP5ME,2.386257901307262,380
EC,TIMP2,2.386009592479449,381
EC,RPL23,2.3830740890843836,382
EC,ADAMTS6,2.3742046797404504,383
EC,ARHGAP29,2.3729238783573265,384
EC,RTN4,2.3661815966968147,385
EC,TACC1,2.3402770241130533,386
