cell_type,gene,class,importance,n_cells_used_for_importance,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref,target_minus_others_mean,abs_target_minus_others_mean,combined_score
IC,MT-ND3,AKI,0.037959203,400,182.62604,172.41455,448.7763,-127.96939086914062,127.96939086914062,4.857616101662188
IC,MT-CO3,AKI,0.04926984,400,127.9708,129.9532,268.17453,-71.09306335449219,71.09306335449219,3.502743865207094
IC,WFDC2,AKI,0.08181065,400,36.526966,13.867877,12.044047,23.571003913879395,23.571003913879395,1.9283592270025451
IC,SPP1,AKI,0.06990875,400,26.636858,2.9406412,1.5475882,24.392743289470673,24.392743289470673,1.7052662665295868
IC,MT-CO1,AKI,0.019700374,400,236.62917,200.96255,431.81885,-79.76153564453125,79.76153564453125,1.5713321192440617
IC,MT-ND2,AKI,0.04187822,400,45.354656,48.68121,111.51724,-34.74456977844238,34.74456977844238,1.4550407263516192
IC,MT-CO2,AKI,0.011688887,400,213.85739,172.91487,449.3489,-97.27449798583984,97.27449798583984,1.1370306287166514
IC,MT-CYB,AKI,0.024164261,400,66.4086,58.330578,162.62872,-44.0710506439209,44.0710506439209,1.064944383366207
IC,MALAT1,AKI,0.013768619,400,130.95297,107.49526,307.91855,-76.75393295288086,76.75393295288086,1.0567956539311254
IC,MT-ND1,AKI,0.03490961,400,36.12844,36.770008,93.62432,-29.068723678588867,29.068723678588867,1.0147777982481259
IC,MT-ND5,AKI,0.084785365,400,18.006086,21.635935,37.22572,-11.4247407913208,11.4247407913208,0.9686508130897025
IC,MT-ND4L,AKI,0.05175665,400,22.419624,29.067339,42.73485,-13.481471061706543,13.481471061706543,0.6977557820492564
IC,CD24,AKI,0.11560215,400,8.506189,2.510363,2.985357,5.758329272270203,5.758329272270203,0.6656752475037262
IC,MT-ATP6,AKI,0.024416767,400,114.6714,88.09515,190.44919,-24.60076904296875,24.60076904296875,0.6006712472376421
IC,S100A6,AKI,0.06416878,400,34.722355,18.82135,33.120674,8.7513427734375,8.7513427734375,0.5615629982530663
IC,RPL39,AKI,0.051283672,400,23.343723,20.65642,40.894417,-7.431694984436035,7.431694984436035,0.3811246113447879
IC,FXYD2,AKI,0.02047876,400,19.730158,28.14471,48.399097,-18.541746139526367,18.541746139526367,0.37971198444340715
IC,TXNIP,AKI,0.11305176,400,3.9592242,5.1905346,8.760199,-3.0161423683166504,3.0161423683166504,0.3409801947531932
IC,B2M,AKI,0.0407021,400,42.400726,26.57096,41.642025,8.294234275817871,8.294234275817871,0.3375927599113915
IC,ACTG1,AKI,0.049806725,400,7.846985,5.792261,23.399319,-6.748805046081543,6.748805046081543,0.33613587858662086
IC,DEFB1,AKI,0.015601621,400,47.244015,34.072758,100.08641,-19.835569381713867,19.835569381713867,0.30946703599934544
IC,RPS4X,AKI,0.04060389,400,16.35226,15.635276,31.995123,-7.4629387855529785,7.4629387855529785,0.3030243531006036
IC,RPS27,AKI,0.0430899,400,22.658056,18.96845,39.285995,-6.4691667556762695,6.4691667556762695,0.27875574965797867
