latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,cell_type,condition
-0.8516503,3.2815926,-0.642831,-3.2887454,1.0182478,-4.6767964,0.45129576,4.650878,-3.9658384,2.562834,-4.14966,-1.427748,4.141461,-3.2801344,-2.665518,-2.5085826,5.2079716,1.9476253,6.4432054,2.4435992,4.7332997,-3.2920122,2.5839195,-3.0923626,-2.5149665,-2.2106102,1.9057984,-3.9449294,-5.457659,4.0485573,-2.2735064,-4.7552047,IC,AKI
-0.53551257,3.1757882,4.3074727,1.1167403,1.6413128,-1.2578291,3.1586628,-2.48196,-2.227813,1.0762792,-3.0554202,4.2892838,3.5354948,-2.2209196,2.8398097,-0.946681,-1.1407557,-0.65022457,-3.227524,-1.9777744,0.08525933,1.5926273,-0.7240539,1.2346851,-2.9235585,1.5678613,2.9296806,3.44251,2.5043998,-1.0191679,2.5583944,0.75098705,IC,CKD
-1.2903503,0.01273777,-0.1353665,0.5039088,-0.897758,-0.30560255,-0.2801119,0.113387495,-0.7186685,2.3335617,-0.28969875,-0.45036635,-0.40192652,0.037937127,-1.4892772,0.8936723,2.0305128,-0.5450913,1.1878994,1.6090773,-0.19370344,-0.26939917,-0.12068847,-1.9002469,-0.31147012,-0.9320175,-0.8164588,0.2868429,-1.7571287,-0.17012317,-0.3995769,-2.601853,IC,Ref
-0.57554233,0.93447727,0.3286262,-0.14364998,-0.2113907,-1.2748475,0.28568864,0.881894,-1.2501013,1.8678792,-0.90660024,-0.012659907,0.91594416,-0.6360296,-0.88816077,0.18440096,1.7534069,-0.089915216,1.7715393,1.1011283,0.76631826,-0.43906927,0.4963646,-1.44799,-1.0807017,-0.76510906,0.16417399,-0.30692902,-1.5223589,0.5556209,-0.1526007,-1.982752,IC,AKI
-2.068331,-0.48782316,-0.3027527,1.7855414,-1.0860364,0.8575145,-0.1942691,-1.6962535,0.61585635,2.0620592,0.39155653,-0.3490698,-1.3832351,1.0475223,-1.996039,1.4517615,1.7746515,-0.7826905,-1.0861459,1.4907379,-1.6864253,0.30752003,-1.0278748,-2.309103,0.05773116,-0.7668456,-1.4038175,1.5252744,-1.2076156,-1.3691372,-0.5721141,-1.4194192,IC,Ref
-0.33580062,2.1923103,3.2923775,1.3232176,1.2739046,-0.48692077,2.3415241,-2.1122823,-1.1289309,0.9718235,-2.046362,3.0137231,2.4374819,-1.0552151,1.6887503,-0.31819123,-0.87630445,-0.86015534,-2.5276356,-1.3220443,0.3003376,1.7225126,-0.6024818,0.48837095,-2.3172975,0.65933996,2.0756316,3.0566018,1.9228742,-0.8190632,2.040424,0.11095385,IC,CKD
-2.527586,-1.2481456,-0.41972396,2.71992,-2.0430682,1.506678,-0.3483614,-2.626502,1.039209,3.144056,0.5188962,-0.27980193,-2.4181685,1.2807897,-2.4537725,2.4351003,2.1578815,-1.4170661,-1.5122416,1.9351262,-2.611739,0.70220315,-1.6316801,-2.4973125,0.61287946,-0.69678056,-2.2552886,2.4277737,-1.0811055,-2.1551623,-0.4451218,-2.464497,IC,Ref
-0.30809054,2.1694818,2.1654363,0.5976356,0.89066124,-1.0926126,1.6197703,-0.6242867,-1.3969846,1.240166,-1.6586628,1.762964,2.3057475,-1.0947119,0.87942266,-0.27262402,0.23120989,-0.4558327,-0.36749423,-0.460069,0.5264067,0.8980511,0.1973928,-0.16297437,-1.9604179,0.19468859,1.58271,1.5145773,0.6850756,-0.08293792,1.3268274,-0.5589559,IC,CKD
-0.6120381,1.9838494,-0.43393037,-1.8958116,0.5616422,-2.680881,0.16244742,2.7707949,-2.4736981,1.7562401,-2.3910036,-0.78746,2.364223,-1.8484851,-1.6682149,-1.3705816,3.159549,0.91573083,3.8040733,1.6296647,2.8710265,-1.8479924,1.5900854,-1.98546,-1.5943393,-1.3743867,0.91568214,-2.2327502,-3.3929126,2.4715278,-1.2529083,-3.0284874,IC,AKI
-0.27975553,0.59140664,0.21123227,-1.0685153,0.5098104,-1.6909237,0.25886145,1.3097771,-1.4210333,0.35759354,-2.071405,0.22855094,1.2031224,-1.72296,-0.4019614,-1.1126447,1.187769,0.94826305,0.5156202,0.010488487,1.3594637,-1.5595531,0.31174472,0.101282366,-0.8159998,0.10729467,0.37379104,-1.0086069,-1.2694423,0.39336857,-0.25816742,-1.18072,IC,CKD
