cell_type,gene,variance,variance_rank
IC,MT-CO1,84089.63373730084,1
IC,MT-CO2,83762.52886716282,2
IC,MALAT1,80473.61328652606,3
IC,MT-ND3,75881.38471038842,4
IC,MT-CO3,28436.416228474478,5
IC,DEFB1,15518.380077592006,6
IC,MT-ATP6,13894.686851126004,7
IC,MT-ND4,12618.549875476128,8
IC,MT-CYB,10939.28954504444,9
IC,MT-ND2,5215.417395614877,10
IC,MT-ND1,3944.9671971771013,11
IC,RPL41,2828.0727814205557,12
IC,SPINK1,2525.924532352594,13
IC,FXYD2,2190.728020114948,14
IC,EEF1A1,1815.4556346652282,15
IC,WFDC2,1507.2206978432014,16
IC,SPP1,1407.6171152112847,17
IC,B2M,1400.477884176959,18
IC,MT-ND4L,1276.9965526290443,19
IC,S100A6,1181.3574998865097,20
IC,RPS12,1091.5180867718102,21
IC,FTH1,966.1454591181148,22
IC,RPLP1,943.3268714181077,23
IC,FTL,844.0398878427814,24
IC,RPL10,821.486413915317,25
IC,RPL39,804.5180628676217,26
IC,RPS18,793.1626302552819,27
IC,RPL11,677.274889847545,28
IC,RPS27,670.5411847891471,29
IC,MT-ND5,661.8060186141796,30
IC,RPS28,660.0019832539449,31
IC,RPS24,655.7828763896351,32
IC,IGFBP7,584.3363404619781,33
IC,RPL13,571.4429751895021,34
IC,RPS4X,558.1819336451523,35
IC,RPS23,552.5859760989947,36
IC,RPL34,541.9330827519037,37
IC,TPT1,514.0632463116465,38
IC,RPL32,510.3205513715641,39
IC,APOE,504.9868173994429,40
IC,ATP1B1,476.44900816069566,41
IC,RPL8,458.5261580354552,42
IC,RPL28,451.8364742652343,43
IC,RPL30,418.4128219496009,44
IC,RPL26,409.1627940107925,45
IC,RPS27A,404.76735611627055,46
IC,RPL3,403.88576071129006,47
IC,RPS3A,394.70385295115926,48
IC,RPL7A,375.78580227927057,49
IC,S100A2,372.0714466458018,50
IC,RPL19,347.3037941831868,51
IC,NDUFA4,346.0481961097395,52
IC,RPS15,342.9145514546711,53
IC,TMSB4X,340.9266922589758,54
IC,RPS13,338.8406520054919,55
IC,RPS14,325.6492244121653,56
IC,KLK1,325.2728151609263,57
IC,RPL36,310.87614659953067,58
