cell_type,gene,class,importance,n_cells_used_for_importance,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref,target_minus_others_mean,abs_target_minus_others_mean,combined_score
IMM,MT-ND3,AKI,0.10391858,400,48.51511,80.03564,121.36692,-52.1861686706543,52.1861686706543,5.42311265875685
IMM,MT-ND2,AKI,0.122065745,400,14.433301,25.90686,34.55096,-15.795609474182129,15.795609474182129,1.9281028428404952
IMM,MALAT1,AKI,0.054180652,400,47.940025,55.033447,100.046326,-29.59986114501953,29.59986114501953,1.6037397730799512
IMM,MT-ND1,AKI,0.13162774,400,9.212602,16.572678,23.286173,-10.71682357788086,10.71682357788086,1.4106312512005843
IMM,MT-CYB,AKI,0.06438889,400,21.010742,28.311798,46.39594,-16.34312629699707,16.34312629699707,1.0523158193245052
IMM,MT-ND4L,AKI,0.112303734,400,6.569796,16.295216,13.928274,-8.541948795318604,8.541948795318604,0.9592927438620791
IMM,MT-CO3,AKI,0.03256008,400,37.678158,51.170017,73.73237,-24.773035049438477,24.773035049438477,0.8066120102327545
IMM,RPS27,AKI,0.098569505,400,17.095297,19.780935,27.861181,-6.725761413574219,6.725761413574219,0.6629549727236395
IMM,MT-CO1,AKI,0.027383551,400,73.924324,87.3836,104.29975,-21.91735076904297,21.91735076904297,0.6001748926029222
IMM,MT-ND5,AKI,0.1045434,400,6.13357,11.295919,12.040167,-5.534472942352295,5.534472942352295,0.5785926340483556
IMM,IGKC,AKI,0.009361401,400,108.60367,95.32364,22.148409,49.86764430999756,49.86764430999756,0.46683102529947007
IMM,MT-ATP6,AKI,0.026215026,400,49.20581,57.563656,74.25855,-16.705293655395508,16.705293655395508,0.4379297101050561
IMM,MT-CO2,AKI,0.00943968,400,57.637394,67.99188,98.267746,-25.492420196533203,25.492420196533203,0.24064028382971614
IMM,RPS29,AKI,0.090572976,400,6.8878274,7.7295094,11.275259,-2.6145567893981934,2.6145567893981934,0.23680818822802863
IMM,RPL41,AKI,0.06284949,400,19.291468,19.766493,25.702675,-3.4431161880493164,3.4431161880493164,0.21639810274652405
IMM,IGHA1,AKI,0.008718221,400,25.553396,5.4833827,0.004747876,22.80933093605563,22.80933093605563,0.19885679818950422
IMM,MT-ND4,AKI,0.014814262,400,43.006042,56.56806,56.198074,-13.377025604248047,13.377025604248047,0.19817076580590864
IMM,TMSB4X,AKI,0.04929621,400,33.07548,28.782804,31.693464,2.8373470306396484,2.8373470306396484,0.1398704591831077
IMM,TXNIP,AKI,0.082695104,400,1.4909927,1.8010168,4.3271246,-1.5730780363082886,1.5730780363082886,0.1300858520985626
IMM,RPS4Y1,AKI,0.20648888,400,0.96269107,0.19633614,0.52177083,0.603637583553791,0.603637583553791,0.1246444470658814
IMM,FTL,AKI,0.03176483,400,28.509388,19.584314,29.634502,3.899979591369629,3.899979591369629,0.12388219415973012
IMM,RPS4X,AKI,0.056759782,400,8.136063,8.978411,11.553388,-2.1298365592956543,2.1298365592956543,0.12088905908981573
IMM,MT-ATP8,AKI,0.09649697,400,0.8347803,1.5854205,2.2112837,-1.063571810722351,1.063571810722351,0.10263145653932426
IMM,RPS10,AKI,0.08336852,400,3.762185,5.1938963,4.7092996,-1.1894128322601318,1.1894128322601318,0.09915958447157003
IMM,HLA-B,AKI,0.072090186,400,5.324214,5.3470263,7.803864,-1.2512311935424805,1.2512311935424805,0.0902014896950547
IMM,RPL37,AKI,0.04707542,400,6.757753,7.134592,10.063434,-1.8412599563598633,1.8412599563598633,0.0866780869128263
IMM,RPL26,AKI,0.04082624,400,9.4317045,10.322676,12.592081,-2.0256738662719727,2.0256738662719727,0.08270064477617467
IMM,RPS26,AKI,0.0670309,400,6.4648867,5.411726,5.0592666,1.2293903827667236,1.2293903827667236,0.08240714285746797
IMM,RPS28,AKI,0.03535722,400,12.814429,13.057294,16.48959,-1.959012508392334,1.959012508392334,0.0692652327857548
IMM,TMSB10,AKI,0.019440435,400,19.328272,15.073455,16.771389,3.4058499336242676,3.4058499336242676,0.06621120382218848
IMM,BTG1,AKI,0.04518229,400,1.3130348,1.3802235,4.057596,-1.4058750867843628,1.4058750867843628,0.06352065786883854
IMM,SRGN,AKI,0.03519841,400,1.3354611,1.4519424,4.82792,-1.8044700622558594,1.8044700622558594,0.06351447547858413
IMM,RPL38,AKI,0.064909436,400,2.8422208,3.1502156,4.414011,-0.9398925304412842,0.9398925304412842,0.061007893871716234
IMM,RPL21,AKI,0.06612482,400,5.5474854,5.736567,7.031834,-0.8367152214050293,0.8367152214050293,0.055327642753287165
IMM,RPL10,AKI,0.014786851,400,19.132097,19.325811,26.113417,-3.5875167846679688,3.5875167846679688,0.053048074938857326
IMM,RPL35A,AKI,0.041905295,400,6.4572763,6.7391005,8.704137,-1.2643423080444336,1.2643423080444336,0.0529826375308069
IMM,CYBA,AKI,0.051797174,400,5.5701857,4.1994185,4.935401,1.0027759075164795,1.0027759075164795,0.05194095808170296
IMM,RPS25,AKI,0.0461548,400,6.308814,6.120854,8.611727,-1.057476282119751,1.057476282119751,0.048807607154572885
IMM,RACK1,AKI,0.038217388,400,3.7215886,2.7064385,2.1889806,1.273879051208496,1.273879051208496,0.048684330084178384
IMM,HLA-DRA,AKI,0.012832823,400,10.116427,11.839901,15.8053875,-3.706216812133789,3.706216812133789,0.047561225126058204
IMM,RPL37A,AKI,0.056211695,400,2.6348975,2.7803254,4.129471,-0.8200006484985352,0.8200006484985352,0.04609362641473069
IMM,RPS21,AKI,0.044511832,400,5.5278497,6.1540914,6.95901,-1.0287010669708252,1.0287010669708252,0.04578936937659428
IMM,TPT1,AKI,0.012003404,400,12.000785,11.346111,20.055574,-3.7000579833984375,3.7000579833984375,0.04441329112493975
IMM,ITM2B,AKI,0.043201227,400,2.6733708,2.950243,4.3556185,-0.9795598983764648,0.9795598983764648,0.04231818927622655
IMM,GNB2L1,AKI,0.028509926,400,0.092246324,0.6005232,2.474935,-1.4454827904701233,1.4454827904701233,0.04121060746415384
IMM,IGLC2,AKI,0.0034156544,400,35.8394,47.73928,2.050377,10.944572448730469,10.944572448730469,0.03738287718730504
