latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,cell_type,condition
-2.4445243,-2.160775,-2.5852475,1.0004551,-2.6207669,-0.66025263,-1.0637391,0.17678538,2.172565,-1.3196625,3.247505,-0.5850927,-0.23789856,-2.228944,-1.217288,-1.6731417,-0.8061799,1.706074,-0.89523757,1.2967291,-2.941556,-0.21307276,2.051262,0.01145552,3.2002604,-1.528798,-2.3699117,-0.09800275,2.6011534,-2.4294329,-2.8725193,0.01922694,IMM,CKD
0.10228225,0.36386767,-0.22548841,-0.8926669,-0.90359163,-2.4672966,-2.8105369,-1.5330554,3.5091143,-2.577661,2.3124495,-1.7224255,-4.285142,-1.9654077,1.4471041,0.17864442,1.5491647,2.6296878,1.8165509,1.8567063,-3.090223,0.9555907,-2.2217293,2.125878,1.3410034,-2.1752357,-1.6359195,-2.625385,1.5005102,-1.7184772,0.3860775,-2.350931,IMM,AKI
-0.7052879,-0.5729067,-0.8707401,-0.065112256,-0.93648225,-0.87619,-1.2096338,-0.4177913,2.0109951,-1.4671546,1.9920548,-0.63895744,-1.5132564,-1.4200542,0.025911689,-0.28034672,0.62513137,1.5600152,0.63294387,0.8195031,-2.0029538,0.20644729,-0.027433695,1.1641977,1.6073762,-1.197694,-1.1153994,-0.9729133,1.2206168,-1.2249103,-0.797813,-0.68253446,IMM,CKD
-1.4621404,0.40236294,-0.07402099,0.2766663,-2.0528877,0.1268875,-2.1858325,0.4211793,1.2203704,-0.7516913,0.7637506,0.38603342,-0.0569689,-0.029269392,-0.41395625,-1.1076415,-0.9071686,1.0959407,0.18500376,1.8970342,-1.0551109,0.03855138,0.8170369,-0.54221517,0.9334838,-0.61667186,-1.0912741,0.53082263,1.8856771,-1.3577389,-0.6472091,-0.77740693,IMM,CKD
-0.2274707,0.18850482,-0.5629749,-0.22864105,-0.49632788,-0.4434894,-1.3271269,-0.34988335,1.0873636,-1.0217642,1.1475316,-0.33588076,-1.2154216,-1.0200804,0.093006164,-0.23446102,0.52665496,1.1726304,0.5972806,0.34810466,-0.8300051,0.19416676,-0.40153342,0.99397177,1.3371382,-0.9296759,-0.5449702,-0.37621343,0.61644846,-0.68366456,-0.2200665,-0.39357853,IMM,AKI
-3.1309302,0.8580929,1.0070351,0.28329667,-3.998256,0.5373663,-3.682248,0.8599245,2.232737,-1.0266224,1.1545147,1.6758411,0.55075836,0.887306,-1.217293,-2.011471,-1.8990318,0.95004046,0.59953326,3.6724818,-1.7939177,0.26158643,2.5146708,-1.1178498,1.7604444,-0.528279,-1.5787859,1.0870221,3.0531769,-2.5786035,-1.0920875,-1.9856607,IMM,CKD
-2.3689044,-1.5715523,-2.678178,1.1113524,-2.1158454,0.3545661,-0.7253176,1.044891,1.3721417,-1.196202,2.8375974,0.14239284,0.67410386,-2.1674144,-1.3955123,-1.6679727,-0.50235665,1.608823,-0.66368216,-0.027068008,-1.4725666,-0.4495105,2.3031533,0.5719732,3.273056,-1.080242,-1.4748764,1.046202,1.9323847,-1.4361627,-3.1185567,0.73891366,IMM,CKD
-1.7881677,-0.74840105,-0.45106924,0.40872058,-1.2056376,-0.4123615,0.16183218,0.5513039,0.95897245,-0.040280286,1.3697417,-0.10982802,0.4179004,-0.8082459,-0.7518216,-1.3601005,-0.1062849,0.34767047,-0.204868,0.8427191,-1.8131564,-0.45999885,1.6214325,-0.0052817576,1.3211938,0.19902717,-0.9143976,0.2290263,1.183242,-1.4698699,-1.3148422,-0.21860448,IMM,AKI
-1.9408222,2.9290254,-0.79536283,-1.7661915,0.8420134,3.4702466,0.16886446,1.9038199,-1.4015745,0.75836873,-1.2748061,1.5983886,1.5233778,-1.0967096,-2.2300193,-0.36682576,2.2167883,1.2179803,0.63588095,-1.5820581,0.98974437,-2.6504745,1.6203687,1.3238398,0.89338726,1.5944152,1.712526,1.268415,-0.7714005,1.5635089,-0.76066697,-0.057150334,IMM,Ref
-1.9511297,-1.4876711,-2.2153246,0.71460336,-1.8756976,0.08123089,-0.8393019,0.6579811,1.3425733,-1.1528649,2.6328528,0.027823092,0.23177812,-1.8552475,-1.1795193,-1.4346491,-0.34877938,1.562866,-0.5562181,0.0718911,-1.5500658,-0.31334594,1.9660277,0.476329,2.9447272,-1.0256839,-1.2603592,0.5711844,1.7559838,-1.4541659,-2.5149622,0.54791296,IMM,CKD
