cell_type,gene,variance,variance_rank
IMM,IGKC,909378.8185386712,1
IMM,IGLC2,253859.8315517307,2
IMM,IGLC3,52283.738802547705,3
IMM,IGHA1,45565.86268079497,4
IMM,IGLC1,19710.084274348887,5
IMM,IGHG1,9984.742591910925,6
IMM,IGHG4,7893.007566562758,7
IMM,MT-ND3,7679.829476802856,8
IMM,MT-CO1,7488.517898042015,9
IMM,IGHG2,6020.337267187852,10
IMM,IGLL5,5761.731775401755,11
IMM,MT-CO2,5649.265858129198,12
IMM,MALAT1,5587.186533930442,13
IMM,IGHM,5006.761427200126,14
IMM,MT-CO3,3394.794045290521,15
IMM,FTL,3219.696027249211,16
IMM,MT-ATP6,2715.267075404631,17
IMM,JCHAIN,2325.2186644280036,18
IMM,MT-ND4,2197.854285048186,19
IMM,IGHG3,1928.3135953948372,20
IMM,IGJ,1530.322560136831,21
IMM,MT-CYB,1090.7770791853682,22
IMM,TMSB4X,1044.6206805584634,23
IMM,FTH1,957.7210451290139,24
IMM,HLA-DRA,782.777528059496,25
IMM,MT-ND2,740.0255263038138,26
IMM,B2M,469.8262568310106,27
IMM,HLA-DRB1,469.04757922196865,28
IMM,CD74,428.96800186406034,29
IMM,LYZ,417.7559212632935,30
IMM,TMSB10,401.3018949200901,31
IMM,RPL10,399.7691641235157,32
IMM,RPL41,344.6810511942698,33
IMM,MT-ND1,333.40409051259627,34
IMM,RPS27,293.52145323206463,35
IMM,RPLP1,287.4266889584754,36
IMM,APOE,282.6333645697653,37
IMM,DEFB1,266.60614776904487,38
IMM,MT-ND4L,263.4239752697085,39
IMM,RPS18,262.1769543769696,40
IMM,EEF1A1,249.37187294166404,41
IMM,CST3,241.94694709732553,42
IMM,SPP1,241.80394045588537,43
IMM,ACTB,236.62127466207903,44
IMM,HLA-DPA1,233.3065842711854,45
IMM,RPS12,231.10452453124213,46
IMM,TPT1,228.16166739579066,47
IMM,RPL13,206.54559496758566,48
IMM,RPL39,201.9264522115718,49
IMM,RPS19,194.78161469588304,50
IMM,HLA-DPB1,185.8471354323208,51
IMM,S100A9,168.77363333599175,52
IMM,RPS24,162.8472190226098,53
IMM,RPS23,155.12820264373252,54
IMM,RPL28,150.65729867914385,55
IMM,RPS28,150.15308707125376,56
IMM,S100A6,148.70365815164544,57
IMM,RPL30,142.9938980076992,58
IMM,RPL32,142.46585989586538,59
IMM,CCL4,121.71815028610695,60
IMM,RPL34,121.17460787296011,61
IMM,RPL11,118.17845584866026,62
IMM,RPS27A,117.53884891596553,63
IMM,S100A4,116.79444299461768,64
IMM,RPS8,116.20667740605275,65
IMM,RPL26,109.81391722238574,66
IMM,MT-ND5,105.45888777842879,67
IMM,RPS15A,99.74829178977214,68
IMM,RPS4X,99.67402067089736,69
IMM,RPS3A,93.86904070432713,70
IMM,RPS3,89.25102845026395,71
IMM,RPL18A,89.23453711247564,72
IMM,RPL19,86.50856955593397,73
IMM,RPS14,83.5754960136803,74
IMM,PTMA,82.27513981163084,75
IMM,RPS15,80.69060304033815,76
IMM,S100A8,78.14920350626153,77
IMM,IGLV3-1,76.35255036278316,78
IMM,APOC1,72.5108603644689,79
IMM,MMP7,71.28729564958012,80
IMM,RPL3,68.63945415720482,81
IMM,GNLY,67.9537573335785,82
IMM,RPS13,67.37040437727687,83
IMM,WFDC2,67.18171434595251,84
IMM,RPS29,66.93628195315256,85
IMM,RPL36,62.421297492628725,86
IMM,S100A11,62.127276188486064,87
IMM,RPL37,61.74873092842288,88
IMM,FOS,61.59058651213077,89
IMM,RPL7A,59.10943756582402,90
IMM,TYROBP,57.76592242948315,91
IMM,SSR4,57.615179685262106,92
IMM,RPL8,57.45465943004589,93
IMM,RPS9,56.34969346569749,94
IMM,RPL12,54.55336888809078,95
IMM,FAU,52.02584583572286,96
IMM,RPL18,51.6581877796787,97
IMM,SAT1,51.1926873224589,98
IMM,MT2A,49.082494353068256,99
IMM,MT1G,48.79901789531688,100
IMM,C1QA,48.78974467887242,101
IMM,RPL29,48.54471079717949,102
IMM,FXYD2,47.183658460050424,103
IMM,CCL3,47.166483286751316,104
IMM,CCL4L2,44.36818563510742,105
IMM,HSPA1A,44.159119807105405,106
IMM,RPL35A,43.965441182594006,107
IMM,RPS6,43.87642786278705,108
IMM,RPS7,42.582886611296495,109
IMM,RPS2,39.86669811578923,110
IMM,RPL15,39.53205487767973,111
IMM,UMOD,39.19596658907325,112
IMM,RPL35,38.87794122125917,113
IMM,LGALS1,37.665626744613306,114
IMM,RPS25,37.31759224300084,115
IMM,EIF1,37.29094224922324,116
IMM,RPS21,36.37202639401446,117
IMM,ATP5F1E,34.66307823527241,118
IMM,RPS26,33.990106455390645,119
IMM,C1QB,33.51896193665579,120
IMM,MZB1,33.16486412257349,121
IMM,HLA-B,32.68880995639189,122
IMM,CYBA,32.59578047780663,123
IMM,RPL14,32.513333379305074,124
IMM,AIF1,32.043276991470144,125
IMM,PFN1,31.470479293644853,126
IMM,GAPDH,31.37892058945168,127
IMM,ITM2B,31.181405941736536,128
IMM,SERF2,30.89669681938408,129
IMM,RPL24,29.55096904752063,130
IMM,HLA-DQB1,29.232682025291588,131
IMM,NACA,28.86260688008608,132
IMM,RPL21,28.306013657674235,133
IMM,DUSP1,28.10570078825659,134
IMM,RPL5,27.421102704947998,135
IMM,VIM,27.373130293082017,136
IMM,ACTG1,27.29239215248687,137
IMM,RPL6,27.252852912011903,138
IMM,RPL9,27.19813149770041,139
IMM,SH3BGRL3,27.16589187845722,140
IMM,RPS10,26.002304315493706,141
IMM,JUNB,25.02001414808219,142
IMM,LST1,24.54926691951116,143
IMM,HLA-DQA1,23.838046192888445,144
IMM,RPLP2,22.665021535153663,145
IMM,NKG7,22.522690929394937,146
IMM,FCER1G,21.93815349377325,147
IMM,HSP90AA1,21.52205322640797,148
IMM,C1QC,21.154650983101455,149
IMM,REG1A,20.860434833175542,150
IMM,SRGN,19.787105948386007,151
IMM,IGHA2,19.7806748405844,152
IMM,UBA52,19.49770548733592,153
IMM,S100A10,19.312612013730615,154
IMM,GPX1,19.268004654497116,155
IMM,RPS5,19.16944536499057,156
IMM,MYL6,19.13493707118547,157
IMM,RPL23A,18.675701282910417,158
IMM,HLA-DRB5,18.57878025456523,159
IMM,NEAT1,18.244148135351548,160
IMM,MT1X,18.20739500151241,161
IMM,OAZ1,17.855598917942174,162
IMM,CFL1,17.65913894496738,163
IMM,RPL10A,17.04775166226979,164
IMM,EEF1B2,17.032894760048986,165
IMM,RPL27,16.85060688854162,166
IMM,PPIA,16.509157754797563,167
IMM,COTL1,15.914871175860334,168
IMM,H3F3B,15.859661381025518,169
IMM,CCL3L1,15.706138094416898,170
IMM,CEBPD,15.648655405763428,171
IMM,JUN,15.597007674993627,172
IMM,PTGDS,15.560424992392557,173
IMM,HERPUD1,15.51053921768386,174
IMM,IGFBP5,15.246388487674754,175
IMM,FN1,15.091620395523359,176
IMM,RACK1,14.771413442034806,177
IMM,RPL22,14.746134545913598,178
IMM,RPL27A,14.670445369163762,179
IMM,HSP90B1,14.450187265722576,180
IMM,H3F3A,14.432591649491414,181
IMM,CTSS,14.139933869538961,182
IMM,CCL17,14.057523893977624,183
IMM,GSTP1,13.390556686077991,184
IMM,PFDN5,13.267652535782195,185
IMM,TUBA1B,13.093969293167445,186
IMM,ATP5E,12.862038749180769,187
IMM,CCL5,12.569775428841252,188
IMM,RPL37A,12.496530238041228,189
IMM,UBC,11.9255064741866,190
IMM,IGLV2-14,11.850414592925189,191
IMM,FABP5,11.76363561271636,192
IMM,HLA-C,11.462725877331538,193
IMM,RNASE1,11.424554280407312,194
IMM,TXNIP,11.369718563771034,195
IMM,RPL38,11.31328424950574,196
IMM,CD14,11.2937422281851,197
IMM,RPS16,10.844603642475484,198
IMM,GZMB,10.432016500996845,199
IMM,LTB,10.397420968318423,200
IMM,RPSA,10.214808707097841,201
IMM,ATP1B1,10.071558217387382,202
IMM,CTSD,9.895675451082507,203
IMM,BTG1,9.887571827731207,204
IMM,IER2,9.78781069865695,205
IMM,CD63,9.408383472024044,206
IMM,GNB2L1,9.372891427660898,207
IMM,JUND,9.084897490106187,208
IMM,TIMP1,9.074844466429688,209
IMM,ARPC3,8.897111389237747,210
IMM,MT1H,8.69509736793705,211
IMM,TXN,8.649692375557228,212
IMM,HMGB1,8.506467257491646,213
