latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,cell_type,condition
-0.014827002,-1.5855573,1.7936418,1.2110542,0.11513618,-1.3654872,0.7528753,-0.54461235,-1.4279683,-0.2585909,1.3446662,-0.13241024,-0.520246,-1.0429207,1.128842,-0.7340138,-1.9112203,0.2079519,0.09138186,-1.8605077,-0.57118803,-1.1857699,-1.6203468,-0.010398269,-0.8591577,-0.29986674,-1.7590679,-0.48118985,-1.680377,-1.5658036,-0.6526742,-0.628706,PC,Ref
-0.19810134,-0.2993555,-0.09344311,-0.9457277,-0.12136048,0.6353835,0.3449992,0.9780302,-0.84182626,-0.7402137,0.14769836,1.0118916,-1.2076447,-0.18382236,-0.41312003,-1.6710179,0.36669093,0.8785709,0.05474276,-1.0834045,0.2086175,-0.18687464,0.60774565,-1.4933503,0.3715417,0.6253357,0.6963569,0.24430081,0.50745434,-0.5362803,0.5428389,0.29653957,PC,CKD
-0.43607742,-1.4643959,1.5065367,2.2353253,-0.23368354,-2.007214,1.115421,-0.84727746,-2.1456532,-0.54946387,2.215194,-0.26242796,-0.36304462,-1.4334564,1.3527455,-1.3991039,-2.8571022,1.0297226,1.4526595,-1.739136,-0.9380022,-2.1920025,-1.7020862,-0.16692927,-1.0962769,0.33658087,-2.9981992,-0.654655,-2.6802006,-2.180964,-1.6970873,-1.228081,PC,Ref
0.38271564,-0.5589057,0.7477391,-1.7832848,-0.94514143,1.5252736,0.3324142,2.1512818,-0.03735238,-3.252262,1.5590622,3.0864465,-1.1156534,0.9440229,-0.55166346,-4.2703614,-0.2883722,1.665337,1.0622786,-0.06850322,1.8799903,0.094612755,0.27398354,-1.6842859,-0.55285954,1.028124,-0.97505456,1.4198599,-0.1803254,-2.8938558,0.69288796,1.622759,PC,AKI
-1.3331815,0.38045657,-0.760233,-0.6372395,-0.21782003,0.7906039,0.18629439,1.0456737,-1.9296241,0.8282053,-0.08521706,0.38214675,-1.2928418,-1.5654579,-0.9945258,-2.8090997,0.9656348,1.4090292,0.22526169,-1.6657331,0.3523578,-0.24131948,0.7224735,-2.799364,1.6288223,1.516914,2.285966,0.39049578,1.2828572,-0.25442213,0.7502391,0.06921142,PC,CKD
-0.14394835,0.24632345,1.3990165,-1.5869495,-0.55863315,1.7469059,-0.7357944,1.1652278,0.40828994,0.025280464,1.2158877,1.0970242,0.6462617,0.5672976,-0.19160236,-1.7489558,1.0510212,0.393764,0.22844465,0.35543096,1.0129726,2.0643246,0.46994987,-1.1363562,-0.03961312,-0.17566733,-0.11313709,0.79953814,0.09655014,-1.8007447,2.0893364,1.326052,PC,AKI
-0.51485336,-1.5642806,1.3127627,2.2730794,0.09532109,-1.994531,1.0977354,-0.8923769,-1.7101912,0.51239806,1.9180216,-0.57396567,-0.3440567,-1.7413058,0.9844859,-0.9933054,-2.435837,0.7069931,0.75890255,-1.6924007,-1.4424151,-1.8132659,-1.6633267,-0.14137143,-0.38992497,0.14811116,-2.110188,-1.0485522,-2.1859984,-1.1147746,-1.4516457,-1.3507848,PC,Ref
0.40168238,-0.0045313463,1.2009498,-1.6100081,-0.8977267,1.41337,0.17056367,1.5037034,-0.22323127,-2.2641394,1.8769592,2.6586142,-0.06580126,1.2626137,0.38280573,-2.9283054,0.6042631,1.3105787,0.79951257,0.354548,1.5227085,0.6308403,0.2745538,-1.0161566,-0.56676877,0.46742764,-1.2781492,1.6316444,-0.6613362,-2.562198,1.7695687,1.5055729,PC,AKI
-0.7835166,-1.6718502,1.8432785,2.459213,0.33054242,-2.4680417,1.140559,-1.4495072,-2.2933612,1.0324361,2.1349745,-1.0993919,-0.104372784,-2.0744488,1.494782,-0.2652883,-2.7981608,1.0254395,1.3381885,-1.9228046,-1.8300523,-1.9884858,-2.1127207,0.33462638,-0.7898578,-0.15920573,-2.9433484,-1.1482507,-2.6045263,-1.816383,-1.7164638,-1.6992321,PC,Ref
-1.261814,-1.2532139,2.3813245,1.6115756,0.64134145,-2.0287898,1.0908016,-1.9944636,-2.0736275,1.6512705,2.2566981,-1.0869113,1.5904465,-1.6696686,1.2791921,0.5166972,-2.0466976,1.7211062,2.2298563,-0.60234374,-1.7984776,-1.5468717,-1.6302197,0.673976,-0.5587591,-1.4528754,-2.915147,-1.5671614,-1.9456185,-1.2503332,-0.753885,-1.761932,PC,Ref
