cell_type,gene,variance,variance_rank
PC,MALAT1,76408.20608240619,1
PC,MT-CO1,67294.85805522926,2
PC,MT-CO2,64733.86125837905,3
PC,MT-ND3,42691.29528543723,4
PC,MT-CO3,21146.466879428244,5
PC,MT-ATP6,11903.75379222469,6
PC,MT-ND4,10282.131979234297,7
PC,MT-CYB,8462.706658479367,8
PC,MT-ND2,4412.811962301456,9
PC,FXYD4,2861.4121533697044,10
PC,MT-ND1,2649.3319786360116,11
PC,RPL41,1479.050385808648,12
PC,AQP2,1388.63247618105,13
PC,S100A6,1178.9612169872405,14
PC,WFDC2,1025.2663367141622,15
PC,DEFB1,912.5580093571502,16
PC,MT-ND4L,904.5695902629441,17
PC,EEF1A1,823.3392835564097,18
PC,TMSB4X,612.4289592652967,19
PC,MT-ND5,532.5012585472482,20
PC,IGFBP7,450.8837349648776,21
PC,RPS12,387.18046019276323,22
PC,RPL10,376.8611480957511,23
PC,RPL39,375.5897142522141,24
PC,RPS23,361.1577943490463,25
PC,RPLP1,342.14281126243446,26
PC,RPS18,308.19644447436474,27
PC,RPS27A,306.5366993893792,28
PC,ATP1B1,294.4538273537014,29
PC,RPL34,269.3238695020181,30
PC,CLU,253.68087452536636,31
PC,RPS4X,245.87010230365976,32
PC,RPL13,228.89468743640325,33
PC,TPT1,228.59251022205683,34
PC,RPS28,219.1666764927239,35
PC,RPL11,215.48272918464252,36
PC,RPL32,208.60841360586582,37
PC,RPS24,207.11491710357987,38
PC,RPL3,201.25839353996582,39
PC,RPS27,197.58634633746456,40
PC,FTH1,189.1295983358397,41
PC,NDUFA4,187.80000593689107,42
PC,S100A11,187.62455214063937,43
PC,RPL28,176.13519663161975,44
PC,AQP3,175.4339150065109,45
PC,B2M,174.016374470715,46
PC,SERF2,170.2941317298804,47
PC,RPS3A,167.45769335858355,48
PC,FTL,163.1846713353063,49
PC,RPL30,155.46151179276944,50
PC,RPL26,150.07265516262717,51
PC,PTMA,142.36118718009243,52
PC,ITM2B,141.21948415618266,53
PC,RPS14,140.95377862703975,54
PC,RPL19,139.10967206773773,55
PC,RPS15,138.18121735672167,56
PC,RPL8,135.67523644769514,57
PC,RPL7A,130.94839535060015,58
PC,CYB5A,120.52464647641133,59
PC,GSTP1,119.4345507054667,60
PC,RPL36,116.4929789839752,61
PC,RPS13,115.71548015917008,62
PC,CALB1,115.1755535740099,63
PC,ACTB,110.97525711969266,64
PC,ACTG1,110.3140940562467,65
PC,RPS8,108.91535703813481,66
PC,RPS3,108.78412425885607,67
PC,UMOD,107.79779878918683,68
PC,RPL29,106.98124439494536,69
PC,RPL12,98.12481473855578,70
PC,EIF1,97.25560051581873,71
PC,COX7C,96.4621087189829,72
PC,FOS,96.43768777217042,73
PC,RPL24,96.41842579021092,74
PC,GAPDH,96.0346742108349,75
PC,RPS19,95.20618862921877,76
PC,S100A2,91.3372820894169,77
PC,RPS6,90.72133729047334,78
PC,RPS15A,87.55224750986113,79
PC,RPS26,87.44036058920248,80
PC,RPS25,87.29075898484368,81
PC,FAU,87.21505105956751,82
PC,MYL6,85.94830331877061,83
PC,KRT19,85.55214397368619,84
PC,RPL35A,81.20933006799508,85
PC,RPS9,76.40702436649596,86
PC,RPL15,75.28650461344851,87
PC,HSD11B2,74.70840275658162,88
PC,RPL5,70.23010682985364,89
PC,RPL18,68.87346581464374,90
PC,EPCAM,68.4561162018323,91
PC,FXYD2,66.76371728836884,92
PC,STC1,66.73387724666514,93
PC,RPL37,65.5996006134929,94
PC,RPS7,65.11534933239533,95
PC,SLPI,64.58377474428434,96
PC,TMSB10,64.50740615698439,97
PC,RPL35,62.85969841876544,98
PC,JUND,62.54822950958879,99
PC,COX7B,61.30861280027636,100
PC,MTRNR2L8,60.249865745053214,101
PC,RPL18A,60.12633878291642,102
PC,PPDPF,59.39804092779387,103
PC,RPL21,58.84835962796836,104
PC,RPL6,58.6426337293091,105
PC,H3F3B,57.656496583999115,106
PC,RPL9,57.59686335043967,107
PC,CD9,56.326106396136645,108
PC,KRT18,56.24563744132668,109
PC,ATP5F1E,55.86630649260781,110
PC,PPIA,55.686610280381515,111
PC,RPL14,55.265191075608975,112
PC,SRP14,54.90967436904652,113
PC,CDH16,53.78158538053566,114
PC,IER3,52.402865592043355,115
PC,SPP1,50.56505305680655,116
PC,NACA,50.52329096826304,117
PC,JUNB,50.44935949384361,118
PC,COX5B,49.794610889021484,119
PC,IER2,49.42807864945114,120
PC,CYSTM1,49.415780973868564,121
PC,CD24,48.926054047452325,122
PC,MMP7,48.682724881482244,123
PC,UQCRH,46.711457354700336,124
PC,CD63,45.24027250334054,125
PC,BEX3,44.66823103213507,126
PC,TMA7,43.6304284566329,127
PC,COX8A,43.24901846960284,128
PC,SKP1,41.71860551133835,129
PC,PRDX1,41.41473326177741,130
PC,ATP5IF1,41.096908193015395,131
PC,UQCRB,41.053416603532554,132
PC,RPS21,40.94035592567186,133
PC,COX6B1,40.87081798462124,134
PC,CHCHD10,40.82323805921287,135
PC,HINT1,40.01638672927441,136
PC,COX6C,39.40328459223578,137
PC,CA2,38.21636788651669,138
PC,MGST3,37.663004201777916,139
PC,PFDN5,37.38621275078937,140
PC,S100A10,37.13178820959904,141
PC,SAT1,37.117105841340674,142
PC,H3F3A,36.17104156220637,143
PC,UBL5,35.83072738595626,144
PC,HSPA1A,35.7193719461914,145
PC,NDUFB2,35.65978300792039,146
PC,MIF,35.32166412010049,147
PC,UBB,34.99012021418291,148
PC,MYL12B,34.66660623827339,149
PC,MT2A,34.394014771896,150
PC,ENO1,34.26968012320276,151
PC,RPL10A,34.081633851126654,152
PC,RPL22,33.63586152857263,153
PC,PTGER1,33.39839503050188,154
PC,ID1,33.02833287993674,155
PC,PEBP1,32.78898094712429,156
PC,CD81,32.14342475150255,157
PC,ATP5MG,31.46826218123697,158
PC,CHCHD2,31.28216550805533,159
PC,MRPL33,29.96450928102835,160
PC,NEAT1,29.757757952884017,161
PC,RTN4,29.632550004726106,162
PC,MINOS1,29.482624281264044,163
PC,COX6A1,27.6029577737446,164
PC,UQCRQ,27.52728762218706,165
PC,MAL,27.470837301544286,166
PC,COX4I1,27.464105974798166,167
PC,RACK1,27.367907267682174,168
PC,ATP5MC3,27.298402732493827,169
PC,CTSH,26.867408696224985,170
PC,ID3,26.743512457924744,171
PC,ATP5ME,26.667365226485348,172
PC,LDHB,26.53274155349242,173
PC,RPS29,26.34540602281791,174
PC,RPS5,26.329551531704098,175
PC,OST4,26.068849200310556,176
PC,HSP90AA1,25.77718589749512,177
PC,ATP5MD,25.541466026428182,178
PC,CTSD,25.537882228545406,179
PC,NDUFA1,25.119463782107687,180
PC,PRDX5,24.69063320977511,181
PC,ATP5F1D,24.397567305799456,182
PC,CALM2,24.362517645648712,183
PC,PFN1,24.17275984795539,184
PC,ATP5PF,24.030051134837183,185
PC,TSC22D1,23.903562227343,186
PC,UQCR10,23.68007285630034,187
PC,MT1G,23.6671390032816,188
PC,GPX4,23.56507361897512,189
PC,GSTM3,23.233019423387553,190
PC,ATP6V0E1,23.23074260009356,191
PC,JUN,23.15758835658038,192
PC,RPS10,23.020467449469773,193
PC,ATP5E,22.572146351080587,194
PC,UQCR11,22.041461659077214,195
PC,PCSK1N,21.36278602754805,196
PC,COX7A2,21.19594356167673,197
PC,DYNLL1,20.756349406051044,198
PC,ATP5MC2,20.11938274499707,199
PC,RPL23A,19.94938020531742,200
PC,NDRG1,19.785991024746767,201
PC,NDUFS5,19.57130422744183,202
PC,BCAM,19.433704132350663,203
PC,DBI,19.323965614703813,204
PC,UBC,19.181304781274694,205
PC,FOLR1,18.911416876951208,206
PC,RPLP2,18.751321613800386,207
PC,RPL37A,18.739153720040342,208
PC,ELOB,18.56214867927408,209
PC,SUMO2,18.115500290982368,210
PC,ZFP36,17.697423891781195,211
PC,UBA52,17.596928268368124,212
PC,DSTN,17.387059816444356,213
PC,AIF1L,17.32632284829753,214
PC,TOMM7,17.21863159349365,215
PC,MTRNR2L12,17.121752035869022,216
PC,RPL27,17.09022856484271,217
PC,TSPAN1,16.932345371329173,218
PC,CEBPD,16.906397891566563,219
PC,NGFRAP1,16.717187235599464,220
PC,SOD1,16.538741060744815,221
PC,POLR2L,16.421230614535553,222
PC,COBLL1,16.263356896317823,223
PC,HLA-B,16.220103640662764,224
PC,RPL7,16.081955649257687,225
PC,TXNIP,15.902871490420665,226
PC,GDF15,15.810319347631125,227
PC,ATP1B3,15.713721463760802,228
PC,COMMD6,15.706002376555572,229
PC,IGFBP2,15.702420718427442,230
PC,TACSTD2,15.700086574204848,231
PC,HSPE1,15.636001314173214,232
PC,ASAH1,15.590532840066096,233
PC,PRDX2,15.366141764056223,234
PC,NDUFA13,15.325022308411263,235
PC,SELENOM,15.313177683773752,236
PC,USMG5,15.023822660575785,237
PC,ATP6V1F,14.472276021500994,238
PC,NDUFC1,14.350543219940473,239
PC,SPINT2,14.329852439016372,240
PC,DUSP1,14.263321796874928,241
PC,KRT8,14.197366353920362,242
PC,TPI1,14.105312418970561,243
PC,RPS2,14.062353240221343,244
PC,ATP5L,13.994527337835581,245
PC,RPL38,13.943148980597927,246
PC,EDF1,13.896325526946988,247
PC,MT-ATP8,13.892624759732392,248
PC,TMEM59,13.73932961891231,249
PC,ATPIF1,13.71452372641956,250
PC,PIGR,13.589525416724577,251
PC,BTF3,13.45197985773234,252
PC,ATP5I,13.358540374072486,253
PC,CFL1,13.338239764248648,254
PC,RPL36AL,13.240276165894407,255
PC,CST3,13.183930935774589,256
PC,LTF,13.005826765496932,257
PC,SEC61G,12.789571643256899,258
PC,TMBIM6,12.77005375089162,259
PC,CYCS,12.69830936156045,260
PC,PKM,12.686000545437034,261
PC,MT1E,12.57803545231708,262
PC,ATP6V0B,12.346995727893283,263
PC,ATP5F1B,12.119940136455936,264
PC,MYL12A,11.950572611582734,265
PC,MGP,11.874571599228801,266
PC,SLC25A3,11.850354331693346,267
PC,EIF3K,11.811123123879668,268
PC,RASD1,11.785842305465296,269
PC,ATP5MF,11.767582339509833,270
PC,APP,11.712714466710375,271
PC,LAPTM4A,11.690286555604208,272
PC,ST6GAL1,11.622651162393364,273
PC,HMGB1,11.506484124583297,274
PC,HSPB1,11.421420983496809,275
PC,NDUFB7,11.331446224457748,276
PC,CRYAB,11.256080956911989,277
PC,ALDOA,11.220805753774643,278
PC,CAMK2N1,11.166009333912395,279
PC,ATP5J,11.127166692886224,280
PC,PNP,11.09534651709394,281
PC,NDUFB11,11.049782807907285,282
PC,NDUFB1,10.933801699695184,283
PC,ATP6V1G1,10.87892164207259,284
PC,TNFRSF12A,10.720280579244939,285
PC,NDUFC2,10.646941459816532,286
PC,OAZ1,10.612978485025002,287
PC,GNAS,10.579390164562485,288
PC,ATP5G3,10.579226157709858,289
PC,NDUFA3,10.524353857121383,290
PC,RPSA,10.492599854618732,291
PC,GADD45B,10.481063738523995,292
PC,MUC1,10.39763385697321,293
PC,NPM1,10.363343406444518,294
PC,ATP5MC1,10.243300522911044,295
PC,SUB1,10.133677738975507,296
PC,HSP90AB1,10.114134579369795,297
PC,S100A13,10.022110065186368,298
PC,UQCR11.1,9.95822592390558,299
PC,HLA-A,9.870294262600448,300
PC,HMGN3,9.799264434200856,301
PC,TSTD1,9.794080570774408,302
PC,COX5A,9.751476671219534,303
PC,CSTB,9.73833920041261,304
PC,GUK1,9.655391862042162,305
PC,ARG2,9.638665777174007,306
PC,GNG5,9.633535866792133,307
PC,RPL27A,9.580257149739882,308
PC,COA3,9.552022617098675,309
PC,HSPA1B,9.444299658787028,310
PC,ATP5MPL,9.418110160920289,311
PC,DAD1,9.415850961362947,312
PC,CLDN7,9.39634291215307,313
PC,ITM2C,9.39263835754235,314
PC,FIS1,9.339641881688715,315
PC,HSP90B1,9.263474952349057,316
PC,WDR83OS,9.232910580903205,317
PC,SOD3,9.217406613566821,318
PC,ATP5D,9.193170339474793,319
PC,SMIM5,9.075777161565586,320
PC,CALM1,9.028149327187794,321
PC,SPCS1,8.954296796651342,322
PC,RPL23,8.864212284185543,323
PC,WSB1,8.833403782861726,324
PC,GNB2L1,8.7539363946404,325
PC,CIRBP,8.704801555506975,326
PC,RPS11,8.687246352534652,327
PC,ANXA2,8.632567366091788,328
PC,HLA-C,8.610612367671997,329
PC,PTGR1,8.51358258028505,330
PC,RPLP0,8.504853744358075,331
PC,CD74,8.500394924871578,332
PC,FAM107B,8.477035913717039,333
PC,SPINK1,8.463689119370523,334
PC,ATP1A1,8.459734485609879,335
PC,ATP5PO,8.39255746250664,336
PC,RCAN1,8.368717455213721,337
PC,YWHAE,8.35301091396872,338
PC,LAMTOR5,8.33649327991509,339
PC,SLC12A1,8.301412978503436,340
PC,ATP5G2,8.216653709199006,341
PC,GABARAPL2,8.08002807839493,342
PC,TCEB2,8.01278446903008,343
PC,ATP5PD,8.012502352426171,344
PC,SLC25A5,7.984460055530182,345
PC,TMEM176B,7.836890305943077,346
PC,HNRNPH1,7.7412673147508055,347
PC,TPM4,7.690901186859382,348
PC,NDUFB4,7.683882472448606,349
PC,TXN,7.644506020220713,350
PC,EEF1D,7.638446572279542,351
PC,BSG,7.612952461763,352
