cell_type,gene,variance,variance_rank
PT,MT-CO1,46088.186328183314,1
PT,MT-CO2,30354.751990274806,2
PT,MT-ND3,27941.59958111814,3
PT,MT-CO3,22520.979143740642,4
PT,MALAT1,19856.51331708214,5
PT,MT-ATP6,11526.79351169962,6
PT,MT-ND4,9907.870154519553,7
PT,FTL,8838.790917359418,8
PT,MT1G,8537.298205234645,9
PT,MT-CYB,4728.552436395301,10
PT,MT-ND2,3592.025482531562,11
PT,MT-ND1,1830.2965024140299,12
PT,FTH1,1334.0813984182746,13
PT,GPX3,1164.9660185016405,14
PT,SPP1,1071.23178224314,15
PT,EEF1A1,1033.9798095335263,16
PT,RPL41,941.2767426482101,17
PT,TMSB10,720.2245495091336,18
PT,TPT1,685.4581494642391,19
PT,MT-ND4L,627.485838907681,20
PT,S100A6,562.444333989175,21
PT,RPLP1,499.4016852189863,22
PT,RPL10,491.8540073977731,23
PT,FXYD2,488.0721782662958,24
PT,MT2A,470.1548846413507,25
PT,RPS12,451.51409457166926,26
PT,RPS18,444.5320970759743,27
PT,RPL13,427.8724702965069,28
PT,MT1X,402.5144296671291,29
PT,APOE,383.7327149014518,30
PT,CRYAB,367.7285808690355,31
PT,RPL39,359.7150411146562,32
PT,WFDC2,357.67806191010993,33
PT,CLU,352.23029084359183,34
PT,ALDOB,344.8691284935585,35
PT,MT-ND5,342.0806611677921,36
PT,RPL34,307.0512978887251,37
PT,RPS28,303.1952006857072,38
PT,MT1H,296.99843904474795,39
PT,RPS23,295.6898040409993,40
PT,B2M,290.57683785524205,41
PT,ITM2B,286.24669428221284,42
PT,RPS24,276.224842729902,43
PT,RPL32,263.84278432766655,44
PT,RPS27A,262.7473051196953,45
PT,RPL28,248.47372344175474,46
PT,RPL11,227.84758036232304,47
PT,RPS27,210.54564971740663,48
PT,RPS19,205.8416893300274,49
PT,RPL26,202.6611398929283,50
PT,GSTP1,199.7748962089555,51
PT,IGFBP7,199.2242608863942,52
PT,RPS4X,192.69700107959792,53
PT,RPL3,188.82100236188757,54
PT,RPL19,186.77810454818615,55
PT,DEFB1,183.23112186548317,56
PT,RPL12,180.98713401422899,57
PT,MT1E,179.67391283900082,58
PT,MMP7,178.97695406689036,59
PT,RPS8,178.91053723983583,60
PT,RPL7A,177.7841422191899,61
PT,RPL8,177.3831839178991,62
PT,RPS3A,172.90456301579925,63
PT,RPS15,171.53849262829814,64
PT,RPL18A,151.30883395756092,65
PT,RPL29,143.65776077599324,66
PT,RPS13,141.7398879796905,67
PT,PTMA,134.21293114308617,68
PT,RPL36,132.29273118661578,69
PT,PDZK1IP1,130.64760861352332,70
PT,RPS15A,127.94133624532195,71
PT,RPL30,127.38665714261442,72
PT,RPS14,126.09002148776086,73
PT,REG1A,123.69305074806705,74
PT,GAPDH,120.18660929700145,75
PT,NEAT1,118.37528592794482,76
PT,RPS6,116.60539474878021,77
PT,RPS7,112.2489877112204,78
PT,SERF2,107.31752352931429,79
PT,RPS9,105.26562777823256,80
PT,RPL24,103.65058910962743,81
PT,S100A11,98.99887808424826,82
PT,RPS3,97.02437112488508,83
PT,RPL14,90.83097246945924,84
PT,RPL37,85.54551388691705,85
PT,RPL35A,85.48642979417139,86
PT,PIGR,82.7364041120134,87
PT,MIOX,82.32098811444703,88
PT,TMSB4X,80.60248136375753,89
PT,GATM,79.5717586972726,90
PT,RPL15,79.02440529693504,91
PT,MYL6,78.27917477725588,92
PT,RPL35,77.55771207698817,93
PT,RPS25,76.88412364257782,94
PT,RPL18,76.16374317233607,95
PT,ACTB,73.85246534211758,96
PT,RPS26,70.67735398752451,97
PT,CYB5A,70.42607875551849,98
PT,FAU,67.75069451936882,99
PT,HINT1,66.45168672097026,100
PT,TXN,62.76428570471261,101
PT,RPL5,62.51519232448348,102
PT,RPS21,61.15645622341575,103
PT,ADIRF,60.67957321494717,104
PT,COX7C,60.28855666790571,105
PT,NACA,59.697834256292225,106
PT,S100A10,59.227188238098705,107
PT,RPL9,57.95352443121926,108
PT,GSTA1,57.351866950485814,109
PT,RPL6,56.00961087815885,110
PT,ATP5F1E,54.92419811078972,111
PT,VIM,53.604672165728644,112
PT,HBB,53.59448838221428,113
PT,EIF1,53.457123261399076,114
PT,GSTA2,53.36521228023356,115
PT,RPS5,52.982152252344264,116
PT,RACK1,51.1809154823037,117
PT,RPL21,49.49140371224267,118
PT,CXCL14,48.64423362235514,119
PT,ACTG1,47.64798486122922,120
PT,RBP4,46.98502358341837,121
PT,PPIA,45.90903602936187,122
PT,FABP1,45.58182359167695,123
PT,UGT2B7,44.71425655266496,124
PT,GPX4,42.60901855750913,125
PT,MGST1,41.880952558998466,126
PT,S100A2,41.79526826452282,127
