latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,cell_type,condition
1.7650021,-0.095551096,-0.6308626,2.2766922,-2.3696938,-1.3157045,3.499358,-0.7556466,0.111681074,-2.5553472,1.7387441,-2.33762,0.5145361,1.6923366,-0.59850174,-0.74722767,0.29873192,1.5646026,-0.80835706,-0.7008574,0.42526996,-0.29789966,2.3325334,-1.1641475,-1.0955389,-1.1679658,1.2536844,-2.1221662,2.6671586,2.3441567,-0.08352022,-0.641871,TAL,AKI
1.1242098,1.0856597,-0.45870948,0.45281255,-0.8036361,-0.07399081,1.4024729,0.9668023,-0.7245514,0.4333508,-0.4797558,-0.1298735,-1.3596859,0.7910666,0.5272335,-1.0607265,-0.6892766,-0.25100416,0.738842,-0.7806629,-1.1019646,-1.3296263,1.1676004,-1.2391133,-0.82138944,-1.2253345,-0.5181537,0.21263167,-0.03856785,-0.020667527,-1.1496958,0.7871209,TAL,CKD
1.5599318,0.87551045,-0.51842296,1.1357968,-0.9796514,0.18015118,1.981538,0.51206946,-0.7628522,-0.22800493,-0.029525181,-0.39608696,-1.1196278,1.0131111,0.26724568,-1.0705966,-0.14078408,0.24870881,0.16050394,-0.6748748,-0.86696404,-1.2906265,1.1814673,-1.0389276,-0.91404176,-1.2025262,-0.28635734,-0.39415202,0.29614848,0.4209997,-0.78088,0.5408674,TAL,CKD
-0.45922118,-0.06551055,0.4090376,0.2588792,-1.9635273,-2.5568604,3.2377079,0.079192,0.2845447,-2.3116963,3.2787712,-1.41718,1.1502641,1.6357094,0.7514609,-1.3806837,-1.596533,0.63877463,-0.418693,0.4549863,-0.26931307,-0.15910438,2.6114497,-1.4263228,-1.1494424,-1.5290447,2.3817055,-0.83693147,3.0388277,1.577867,-1.4127142,-0.3401917,TAL,AKI
0.5240048,1.6210331,-1.361894,-1.6487176,-1.1220348,1.7584414,-1.8993493,1.397668,-1.5320495,1.4853579,-1.2361277,1.2292341,-1.6633132,-1.539293,0.013623424,-1.7676585,0.5870808,-0.98259956,-1.1143314,1.5306224,-1.2417647,0.8423009,0.8257385,0.80096465,-0.6270802,-1.4325033,-1.1550541,1.5620631,-1.6051112,-1.7726978,1.4762491,1.3235538,TAL,Ref
1.0008619,-0.07698404,0.41865015,-0.22729263,-0.9626203,-0.19966216,1.8036414,0.7163936,-1.309447,-0.026630513,-0.023685342,1.0990427,-0.15675113,1.2832222,2.7969267,-3.6491268,-4.8644333,-1.99729,1.080412,-0.6969817,-2.6541038,-0.3795428,3.3034713,-3.059796,-0.1466499,-4.7875648,1.004554,2.8135653,2.374699,1.7067592,-2.7347636,2.0441678,TAL,CKD
0.6476209,-0.29453304,-0.6072076,1.5016882,-2.9534316,-1.830967,3.1068895,-0.6862346,0.5779328,-3.233263,2.6728294,-2.7549253,1.1087567,1.4259188,-0.9216754,-0.81934875,0.2201392,1.6007288,-1.8590776,0.52377397,0.6091017,0.42367038,2.7598853,-0.7756262,-0.88445824,-1.2427,2.3936334,-2.214725,3.4509196,2.6027431,0.65818936,-1.1476917,TAL,AKI
0.65801454,2.7055204,-1.4969512,-4.134564,-1.0651678,3.0668437,-2.8546169,0.9328886,-1.3992658,2.5250313,-0.41806605,2.9921823,0.62460333,-4.698267,1.2291638,-3.6889935,-1.6395566,-2.2121203,-2.3391347,4.2079635,-0.6248224,3.9810946,1.3892341,3.704624,-2.630324,-2.3619726,-0.78592,3.3406582,-2.4110417,-3.5082183,1.9135257,0.93561,TAL,Ref
0.17979677,2.0538049,-1.8419292,-2.1533036,-1.386239,1.3593843,-2.327435,1.4713453,-1.7628049,1.4658396,-1.3603369,1.6080564,-1.4993844,-1.6298159,0.27925318,-1.9385234,0.01836364,-0.7859925,-1.1519784,1.6858958,-1.5464507,1.2066628,1.3726269,0.76080936,-1.0556643,-1.5024238,-1.1418666,2.0219471,-1.6985248,-2.1737664,1.5200058,1.6494949,TAL,Ref
1.3864007,-0.3882177,-0.7829325,2.3466551,-3.0268524,-1.6976709,3.5340984,-1.0644784,0.25454348,-3.6428163,2.744429,-2.8219883,1.0242727,1.7049927,-1.0811023,-1.0000275,0.77573615,2.0295424,-1.8258537,-0.08713005,0.6470461,0.28911942,2.850774,-0.92877144,-1.1433718,-1.2828892,2.1600015,-2.6711318,3.4990673,2.9966922,0.40831298,-0.93898207,TAL,AKI
