cell_type,gene,variance,variance_rank
TAL,MT-ND3,73757.01231369884,1
TAL,MALAT1,70815.45422199705,2
TAL,MT-CO2,56069.3193419836,3
TAL,MT-CO1,51217.05360997967,4
TAL,MT-CO3,28730.302278808034,5
TAL,UMOD,19286.35440638999,6
TAL,MT-ATP6,14427.791607783874,7
TAL,MT-ND4,11923.27899891615,8
TAL,MT-CYB,11057.408190363414,9
TAL,MT-ND2,9590.91575953564,10
TAL,DEFB1,8585.51754405213,11
TAL,MT-ND1,6493.569487975669,12
TAL,SPP1,6117.18250018288,13
TAL,WFDC2,5329.553092893105,14
TAL,S100A6,3468.50879003717,15
TAL,S100A2,2803.5136373570417,16
TAL,FXYD2,1951.20841173996,17
TAL,MT-ND4L,1251.3637670378853,18
TAL,RPL41,1013.9397726952458,19
TAL,EEF1A1,818.2423355300506,20
TAL,ATP1B1,812.1799472516027,21
TAL,MTRNR2L12,769.9679345214677,22
TAL,SLC12A1,702.0016474684555,23
TAL,MT-ND5,669.4057481687571,24
TAL,IGFBP7,565.5448050751432,25
TAL,SOD3,461.0649135667539,26
TAL,RPS12,347.8594180637665,27
TAL,RPLP1,343.2149089566843,28
TAL,RPL10,337.0642601253093,29
TAL,FTH1,318.2468535865859,30
TAL,FTL,314.73564207112827,31
TAL,RPS28,302.1711726580282,32
TAL,ATP1A1,274.1409622960655,33
TAL,MT2A,271.8565895737554,34
TAL,RPS18,269.85551823221914,35
TAL,RPL39,267.7420289249245,36
TAL,B2M,247.17175175993253,37
TAL,RPS23,239.017029991872,38
TAL,TMSB10,223.1508930556675,39
TAL,SLPI,222.50509381127355,40
TAL,TPT1,219.05374367126677,41
TAL,ITM2B,215.28477362931164,42
TAL,RPL34,205.33041793965825,43
TAL,RPL13,203.18616213704007,44
TAL,PTMA,194.30041965473282,45
TAL,RPS4X,193.0987728163671,46
TAL,RPS27A,186.6033973953866,47
TAL,RPL11,185.45699969919187,48
TAL,RPL28,181.11786125290269,49
TAL,RPS24,180.43100892583098,50
TAL,KNG1,170.53394368549561,51
TAL,RPL32,165.27476568946597,52
TAL,S100A11,163.95689528939215,53
TAL,RPL26,161.4431054310595,54
TAL,TMEM52B,158.03402015049676,55
TAL,ACTB,157.05078552518626,56
TAL,MMP7,152.35619978763435,57
TAL,SERF2,144.61993657709615,58
TAL,RPL3,140.4225149653131,59
TAL,RPL19,135.89807099762442,60
TAL,RPL8,131.12152235023495,61
TAL,RPS27,129.3651828374709,62
TAL,GSTP1,129.3561889101826,63
TAL,COX7C,125.22160008488513,64
TAL,RPL30,117.25208058985456,65
TAL,RPS19,116.83050573985894,66
TAL,NDUFA4,114.12897351143917,67
TAL,RPS13,112.63071906617665,68
TAL,RPS15,111.64208842661795,69
TAL,RPS3A,108.23576572916932,70
TAL,RPL7A,108.01156946286014,71
TAL,ACTG1,104.9663471272229,72
TAL,S100A10,102.92088544688082,73
TAL,PEBP1,99.72060444795329,74
TAL,RPL12,99.71266991399807,75
TAL,RPS14,96.56758686197651,76
TAL,EIF1,94.89483490360544,77
TAL,RPS8,90.13243729424904,78
TAL,RPL24,89.963811515255,79
TAL,RPL36,89.701020805361,80
TAL,FAU,89.07487328359903,81
TAL,COX5B,82.85260812786308,82
TAL,SAT1,82.48963105941979,83
TAL,RPS6,79.4174206635727,84
TAL,LDHB,76.08151627447525,85
TAL,CD24,75.36786781995124,86
TAL,ADIRF,74.61305015568558,87
TAL,RPS15A,74.0455430765661,88
TAL,RPS3,73.21588606662695,89
TAL,RPL29,72.82857182325847,90
TAL,RPS26,70.9240248920735,91
TAL,PCSK1N,70.81600665733417,92
TAL,RPS7,69.11741000349056,93
TAL,RPS25,68.35459864716205,94
TAL,GAPDH,68.19622872682187,95
TAL,CKB,66.53769474325367,96
TAL,SFRP1,65.54451333883621,97
TAL,RPS9,65.15056307586069,98
TAL,MYL6,64.70719547021613,99
TAL,CLU,64.70152971369355,100
TAL,ATP5F1E,63.521784760848945,101
TAL,MT1G,63.46611168686583,102
TAL,RPL18A,62.33297261895629,103
TAL,CTSD,62.32668523858093,104
TAL,RPL15,62.25489398347378,105
TAL,RPL18,61.077060255530384,106
TAL,RPL35A,60.86609109327376,107
TAL,TMSB4X,60.737497828544726,108
TAL,RPL14,60.04873441792995,109
TAL,COX7B,59.792748615564115,110
TAL,FOS,58.44305414479487,111
TAL,RPL6,58.327114848060965,112
TAL,S100A4,57.683563111677756,113
TAL,RPL37,54.847062572007296,114
TAL,UQCRB,52.73101793587442,115
TAL,COX8A,51.89920426800099,116
TAL,RPL5,50.5087926055657,117
TAL,CST3,48.6854698374964,118
TAL,PPIA,48.51318873256382,119
TAL,COX6B1,48.390497144964776,120
TAL,CXCL14,47.116922225234454,121
TAL,CLDN10,46.86919632637323,122
TAL,RPS29,46.26577768567671,123
TAL,RPL35,45.8264804781351,124
TAL,RPS21,45.031265963556585,125
TAL,PPDPF,42.75025976824681,126
TAL,GNAS,42.69830770517637,127
TAL,SRP14,41.90288451994948,128
TAL,COX6C,41.24731925035529,129
TAL,MTRNR2L8,40.706465365169635,130
TAL,HSP90AA1,39.88271636957673,131
TAL,RPL9,39.575104709127004,132
TAL,JUN,38.970116875599786,133
TAL,PDK4,38.34083913462845,134
TAL,HINT1,38.23754417631114,135
TAL,NEAT1,38.21158150746632,136
TAL,NACA,37.96769352014893,137
TAL,HSPA1A,37.05542839983432,138
TAL,CYB5A,36.79379388937877,139
TAL,RPL21,36.15772816261827,140
TAL,ATP5MG,36.03206771866925,141
TAL,ATP6V0E1,36.01047662873559,142
TAL,ATP5MC3,35.849011350981556,143
TAL,WNK1,35.559789585994864,144
TAL,MAL,35.519108109568435,145
TAL,UQCRH,34.90411913322981,146
TAL,MGST3,33.63326270447706,147
TAL,CLDN16,33.378041561536236,148
TAL,CHCHD10,32.90170340914321,149
TAL,CYSTM1,32.845889444235,150
TAL,CD63,32.37973500525727,151
TAL,ATP5E,31.980294597419082,152
TAL,HBB,31.96905490872841,153
TAL,TMA7,31.93709258202294,154
TAL,CA12,31.36416681299631,155
TAL,JUND,31.198498878518627,156
TAL,ATP5PF,31.077884675184904,157
TAL,UBC,30.789274194984692,158
TAL,H3F3B,30.55920774813188,159
TAL,UBL5,30.433300899859816,160
TAL,IER2,30.274476405021833,161
TAL,PRDX1,30.070018567212152,162
TAL,ITM2C,30.00759847084465,163
TAL,GDF15,29.679099928655905,164
TAL,RPL10A,28.9061588205072,165
TAL,COX4I1,28.397984875000414,166
TAL,ATP5ME,28.386819921597276,167
TAL,IGFBP6,28.228365233028693,168
TAL,TIMP1,28.18961640387518,169
TAL,H3F3A,28.154845201974535,170
TAL,UBB,28.020119554340933,171
TAL,RPS5,27.917303831283036,172
TAL,SERPINA1,26.82613436025426,173
TAL,NDUFA1,26.789963170604164,174
TAL,ATP5MD,26.29931404745077,175
TAL,COX7A2,26.287447567541665,176
TAL,SERPINA5,25.922885489006575,177
TAL,RPL22,25.418939527273505,178
TAL,COX6A1,25.196227083581224,179
TAL,CRYAB,25.012557738374614,180
TAL,MIF,24.98056941383438,181
TAL,PFDN5,24.649848125758208,182
TAL,CD9,24.5723079011089,183
TAL,RPL37A,24.348724435627517,184
TAL,IER3,24.084437547821604,185
TAL,CHCHD2,23.796717020987437,186
TAL,GADD45B,23.77983739991464,187
TAL,UQCR11,23.744820687141935,188
TAL,ATP5F1D,23.48390226357669,189
TAL,DSTN,23.35672994831337,190
TAL,MT1E,22.321742558913286,191
TAL,NDUFB2,22.256210835145172,192
TAL,RACK1,22.190352992629077,193
TAL,CD81,22.133957162057346,194
TAL,TXNIP,22.092959889844337,195
TAL,MYL12B,22.006684827544667,196
TAL,MT1X,21.811998267354085,197
TAL,UQCRQ,21.672486514834965,198
TAL,SKP1,21.46296425676856,199
TAL,CEBPD,21.30355286313226,200
TAL,ATP5MC2,21.271702691844204,201
TAL,CALM2,21.111508444889868,202
TAL,RPL23A,20.802043005426384,203
TAL,KLF6,20.3213043041739,204
TAL,ATP5L,19.844740523050145,205
TAL,NDUFB1,19.54958913184681,206
TAL,DYNLL1,19.536710489129362,207
TAL,HSPB1,19.449010865446276,208
TAL,MUC1,19.147958702851348,209
TAL,MPC1,18.999980091677614,210
TAL,PPP1R1A,18.862478527271797,211
TAL,UQCR10,18.82271136014883,212
TAL,NR4A1,18.67953319323007,213
TAL,APP,18.496302355717756,214
TAL,HIST1H4C,18.450979152165424,215
TAL,ELOB,18.166570856767983,216
TAL,PFN1,18.060598660900844,217
TAL,ATP5J,17.675761932348877,218
TAL,ATP5G3,17.641275276285167,219
TAL,SOD1,17.473097428191302,220
TAL,PTH1R,17.46377355028892,221
TAL,JUNB,17.37643342845348,222
TAL,MT-ATP8,17.21712415483195,223
TAL,PRDX5,16.938955499097545,224
TAL,ZFAND5,16.914845052680764,225
TAL,ATP5F1B,16.903539433172682,226
TAL,BCAM,16.853375009219967,227
TAL,LTF,16.816578038205698,228
TAL,HSPE1,16.794572827254704,229
TAL,UBA52,16.507596354827566,230
TAL,RPLP2,16.50591526065247,231
TAL,TOMM7,16.309415240939263,232
TAL,PAPPA2,16.30935630839452,233
TAL,USMG5,16.28962275565766,234
TAL,RPL7,16.232117501261246,235
