gene,class,importance,variance,variance_rank,n_cells_used,importance_rank
MALAT1,CKD,0.22162701,46529.8247294715,4,300,1
MT-ND4L,CKD,0.21346578,853.1656551799401,24,300,2
MT-ATP6,CKD,0.19942938,10270.968051788057,9,300,3
MT-CO3,CKD,0.16178857,20839.347750081604,7,300,4
MT-CO1,CKD,0.1615191,49518.24244486595,3,300,5
MT-CO2,CKD,0.14872937,42881.031203377366,6,300,6
MT-ND5,CKD,0.13621496,474.25996956369704,33,300,7
MT-ND4,CKD,0.12422425,8973.121805769077,10,300,8
MT-ND3,CKD,0.11991445,45271.01237835592,5,300,9
MT-CYB,CKD,0.09964486,6546.353288793684,12,300,10
RPS26,CKD,0.09907123,74.89490457978025,121,300,11
RPS10,CKD,0.09509373,30.18163289443128,193,300,12
MT-ND2,CKD,0.05801154,4815.301882127371,14,300,13
XIST,CKD,0.053706728,4.388122820151314,574,300,14
RPS4X,CKD,0.05052579,205.9631854113784,63,300,15
MT-ND1,CKD,0.0482409,3438.168689780503,17,300,16
RPL17,CKD,0.040923573,9.284462628229361,394,300,17
RPS21,CKD,0.04081055,54.52989753121036,141,300,18
RPL15,CKD,0.034234032,76.76826319927655,118,300,19
RPS2,CKD,0.033603553,27.470776082432835,207,300,20
UMOD,CKD,0.033205308,5289.369591562348,13,300,21
FTL,CKD,0.031491563,3516.5657692851364,16,300,22
FTH1,CKD,0.03141219,720.9861956930721,27,300,23
HNRNPH1,CKD,0.031312305,6.108975829530736,478,300,24
TPT1,CKD,0.03085835,351.328646653957,41,300,25
GSTP1,CKD,0.030152712,124.54930928138268,86,300,26
ITM2B,CKD,0.028937448,204.10151335543227,64,300,27
RPL9,CKD,0.028508907,53.92118111676273,143,300,28
RPL37A,CKD,0.027902793,29.278041413963443,202,300,29
GABARAP,CKD,0.027238095,2.5673743704859286,779,300,30
MT2A,CKD,0.026870983,330.9639236416394,43,300,31
ATP1B1,CKD,0.026851974,508.28100592681096,30,300,32
ECHS1,CKD,0.026108973,6.168068060491741,476,300,33
RPS25,CKD,0.024796255,81.1405553425765,111,300,34
COX6B1,CKD,0.024770398,39.942842003911466,167,300,35
PTMS,CKD,0.024393948,4.621983457283132,558,300,36
CDC42,CKD,0.023857163,4.5207361157556445,563,300,37
GATM,CKD,0.023626778,25.082241147823176,221,300,38
RPS15,CKD,0.023569848,148.1506107347555,76,300,39
RPLP2,CKD,0.023473853,21.476282967219163,237,300,40
RPL18A,CKD,0.023408463,100.98353517616661,101,300,41
RPL23A,CKD,0.023399362,22.167650426510047,234,300,42
RPS27A,CKD,0.023184968,220.73041354668402,60,300,43
RPLP1,CKD,0.023110753,412.0605448037033,36,300,44
DEFB1,CKD,0.022925097,8836.840528217552,11,300,45
LDHB,CKD,0.022872528,41.758129311824575,160,300,46
RNASEK,CKD,0.022275839,3.967411180259242,609,300,47
DDX5,CKD,0.022272147,4.812643302950748,539,300,48
TXNIP,CKD,0.022107324,20.2449585637548,247,300,49
MT-ATP8,CKD,0.022065854,12.249485973776942,325,300,50
RPS15A,CKD,0.022024846,119.19744397424805,91,300,51
MTRNR2L12,CKD,0.021397227,6.518999503834998,463,300,52
RPSA,CKD,0.021356892,14.093096967597084,298,300,53
PPDPF,CKD,0.021094197,38.91222536734257,169,300,54
RTN4,CKD,0.021006059,36.264969700759806,175,300,55
CTNNB1,CKD,0.020841442,1.4140915825748746,1122,300,56
CEBPD,CKD,0.020713927,14.3647768760512,292,300,57
CLU,CKD,0.020669315,116.18092827585983,92,300,58
S100A6,CKD,0.02051349,1516.1200436841198,21,300,59
RPS12,CKD,0.019881042,426.6690949289262,34,300,60
RPL38,CKD,0.019814037,18.405389614453938,258,300,61
FXYD2,CKD,0.019683437,1301.1846189335959,22,300,62
CD59,CKD,0.019153869,7.1475479192170415,443,300,63
RPL39,CKD,0.019061418,359.68584529686774,38,300,64
DDX17,CKD,0.018868698,5.2665137865020615,517,300,65
ATP5E,CKD,0.018770665,29.30533241270392,201,300,66
PFDN5,CKD,0.018675657,27.341427772456168,209,300,67
WFDC2,CKD,0.018554445,1778.5943794824614,20,300,68
B2M,CKD,0.018450104,607.982716502998,28,300,69
SPP1,CKD,0.017896457,2306.0256409340877,18,300,70
RPL26,CKD,0.017890655,176.0467765880664,66,300,71
APP,CKD,0.017733328,11.460123256818743,342,300,72
SNHG29,CKD,0.01769542,4.211422835286567,587,300,73
RPS27,CKD,0.017604489,257.339470436032,53,300,74
ATP5I,CKD,0.017447045,11.872216710626859,335,300,75
IFITM3,CKD,0.01727219,17.774303638124245,261,300,76
RPL41,CKD,0.017087704,1071.652569960694,23,300,77
NDUFA13,CKD,0.017047923,13.837916889297755,303,300,78
MT1E,CKD,0.016984383,57.43682256442794,139,300,79
EEF1D,CKD,0.016949704,10.734385257497207,357,300,80
PIGR,CKD,0.016914077,20.751876575444143,243,300,81
PHPT1,CKD,0.016896294,6.374946812228746,467,300,82
RPL29,CKD,0.016892709,102.66623243783505,100,300,83
COX7B,CKD,0.016691083,57.960300879429816,138,300,84
MT1G,CKD,0.016630698,2238.9498609937555,19,300,85
RPL7,CKD,0.01659397,14.717008400426604,288,300,86
PTMA,CKD,0.016557653,145.47141478661,77,300,87
RPS29,CKD,0.016442085,48.83907390331214,147,300,88
COX4I1,CKD,0.016408376,35.07568781989801,177,300,89
MYL12B,CKD,0.01632073,23.466755883775885,228,300,90
CD81,CKD,0.01630828,19.201986969133728,253,300,91
RPL7A,CKD,0.016290063,144.3602323465119,78,300,92
CKB,CKD,0.01626428,35.008708516057936,178,300,93
ATP5MPL,CKD,0.016176956,9.535831796275861,387,300,94
CTSD,CKD,0.01612905,40.732181699251434,164,300,95
EEF1G,CKD,0.016092995,1.5912223230965232,1042,300,96
RPL5,CKD,0.016079566,62.83320413952354,137,300,97
RPL30,CKD,0.015999394,158.58425947973566,71,300,98
RPS28,CKD,0.01597422,296.54589775111333,47,300,99
CYB5A,CKD,0.01596761,42.53689600203714,158,300,100
PCSK1N,CKD,0.015941737,30.76495679215855,190,300,101
NDUFA3,CKD,0.015892955,10.085881624711734,372,300,102
ACTB,CKD,0.01580881,192.19683241986317,65,300,103
TMEM59,CKD,0.015659574,14.235241402249592,295,300,104
GLS,CKD,0.015658861,3.237438051629122,676,300,105
NME2,CKD,0.015592586,3.006882048531008,703,300,106
CD46,CKD,0.01558403,2.3553035787367627,819,300,107
EEF1A1,CKD,0.015457317,801.6777418278019,26,300,108
RPL34,CKD,0.014918609,257.0236777958656,54,300,109
NDUFA1,CKD,0.014889805,21.69030662362315,235,300,110
RPL12,CKD,0.014860584,112.57243511249867,93,300,111
GPX4,CKD,0.014760942,23.898731780742125,223,300,112
RPL36A,CKD,0.01462451,7.220715759369872,440,300,113
NEAT1,CKD,0.014538097,46.8878419643915,150,300,114
DUSP1,CKD,0.01450885,16.422031118296715,274,300,115
ZNF503,CKD,0.0145006245,0.7361014395624519,1717,300,116
SERF2,CKD,0.014332215,126.93977310068199,83,300,117
TMSB4X,CKD,0.014288839,481.0255099004123,32,300,118
CXCL14,CKD,0.014272494,25.59497434827886,219,300,119
RPL35,CKD,0.014134785,63.01067410412386,136,300,120
S100A11,CKD,0.014125372,130.96670261940366,81,300,121
RPL3,CKD,0.014112687,163.3902329232985,69,300,122
RPL27A,CKD,0.014092747,13.369330434390804,308,300,123
IGLL5,CKD,0.014081779,69.892130772467,126,300,124
COX8A,CKD,0.013920067,46.70160383911567,151,300,125
SELENOP,CKD,0.0138336355,4.8357099037588185,536,300,126
RPS19,CKD,0.013771784,153.52229226365614,74,300,127
ATPIF1,CKD,0.013711531,6.994085131597545,449,300,128
TMEM213,CKD,0.013705195,14.95648175260068,285,300,129
RPL28,CKD,0.013668777,215.28088059299677,62,300,130
UQCRB,CKD,0.013630237,47.72447712720157,149,300,131
RPL10,CKD,0.013616353,419.89969016257425,35,300,132
DCXR,CKD,0.013544249,8.737345985541362,403,300,133
TMBIM6,CKD,0.01354168,13.850716675255391,301,300,134
RPS18,CKD,0.013499105,355.01365862768347,40,300,135
COX6C,CKD,0.013473871,40.33616036719947,165,300,136
TMA7,CKD,0.01342831,25.73341026477415,218,300,137
HLA-B,CKD,0.013427896,38.98807349657869,168,300,138
UBL5,CKD,0.013358404,25.8507659673516,215,300,139
RACK1,CKD,0.013239009,30.211613985010352,192,300,140
DDT,CKD,0.0132212825,7.628938443926749,428,300,141
IGFBP7,CKD,0.013210204,502.6211516965921,31,300,142
ATP5IF1,CKD,0.013038836,13.82868396843213,304,300,143
SLC25A6,CKD,0.013032901,9.796569377642584,380,300,144
SNX3,CKD,0.013026943,3.701456827230384,632,300,145
RPS14,CKD,0.012981298,128.0263849866529,82,300,146
CHCHD2,CKD,0.012844794,23.535311293933994,226,300,147
PTGES3,CKD,0.012800718,3.1343294017069985,688,300,148
RPL13,CKD,0.012661524,290.5042458654808,48,300,149
EDF1,CKD,0.012583656,12.410210662969305,322,300,150
