gene,class,importance,variance,variance_rank,n_cells_used,importance_rank
MT-ND3,Normal,0.8073334,45271.01237835592,5,300,1
MT-CO1,Normal,0.4101271,49518.24244486595,3,300,2
MALAT1,Normal,0.31353655,46529.8247294715,4,300,3
MT-ND2,Normal,0.30133298,4815.301882127371,14,300,4
MT-CYB,Normal,0.3001161,6546.353288793684,12,300,5
MT-ND4,Normal,0.2467143,8973.121805769077,10,300,6
MT-CO3,Normal,0.24163498,20839.347750081604,7,300,7
MT-ATP6,Normal,0.23780714,10270.968051788057,9,300,8
MT-CO2,Normal,0.22768222,42881.031203377366,6,300,9
MT-ND1,Normal,0.17864875,3438.168689780503,17,300,10
RPS26,Normal,0.155136,74.89490457978025,121,300,11
CEBPD,Normal,0.14030325,14.3647768760512,292,300,12
MT-ATP8,Normal,0.11885452,12.249485973776942,325,300,13
PDK4,Normal,0.10169717,11.05404145973451,352,300,14
ZFAND5,Normal,0.1012,3.9941770774451375,607,300,15
RPL37A,Normal,0.09771744,29.278041413963443,202,300,16
FKBP5,Normal,0.086012475,0.859222093899055,1538,300,17
TSC22D3,Normal,0.08554015,1.9584595213254883,914,300,18
DEFB1,Normal,0.08382141,8836.840528217552,11,300,19
RPS10,Normal,0.08287176,30.18163289443128,193,300,20
TXNIP,Normal,0.07783167,20.2449585637548,247,300,21
RPS29,Normal,0.07072586,48.83907390331214,147,300,22
RHOB,Normal,0.06648798,8.259505469109492,413,300,23
RPL39,Normal,0.066385,359.68584529686774,38,300,24
EGR1,Normal,0.06540812,7.140846709010139,444,300,25
ITM2B,Normal,0.062881276,204.10151335543227,64,300,26
EEF1A1,Normal,0.06027436,801.6777418278019,26,300,27
TPT1,Normal,0.05987681,351.328646653957,41,300,28
DUSP1,Normal,0.059744053,16.422031118296715,274,300,29
MT-ND4L,Normal,0.059691887,853.1656551799401,24,300,30
ACTG1,Normal,0.05905287,126.57777105061743,84,300,31
NR4A1,Normal,0.0580285,7.613591247262781,429,300,32
CYB5A,Normal,0.05766256,42.53689600203714,158,300,33
GADD45A,Normal,0.05753961,2.360959439935972,818,300,34
FAU,Normal,0.05613533,92.73601170852339,105,300,35
MT1G,Normal,0.0553535,2238.9498609937555,19,300,36
RPS21,Normal,0.05503505,54.52989753121036,141,300,37
RPS2,Normal,0.054899532,27.470776082432835,207,300,38
KLF9,Normal,0.0537021,0.9272023014279261,1463,300,39
IGFBP7,Normal,0.053433258,502.6211516965921,31,300,40
PPIA,Normal,0.053120747,44.69411667945336,155,300,41
PPDPF,Normal,0.051661223,38.91222536734257,169,300,42
MT-ND5,Normal,0.050893743,474.25996956369704,33,300,43
KLF6,Normal,0.0505191,7.764764997495945,423,300,44
CHCHD2,Normal,0.050247163,23.535311293933994,226,300,45
RPS25,Normal,0.049662694,81.1405553425765,111,300,46
CYSTM1,Normal,0.04937136,29.176527518341963,203,300,47
RPL38,Normal,0.04922118,18.405389614453938,258,300,48
HERPUD1,Normal,0.049171068,4.43861757878406,571,300,49
HNRNPH1,Normal,0.04905252,6.108975829530736,478,300,50
ERRFI1,Normal,0.048988014,0.8571771709779092,1543,300,51
USP2,Normal,0.048838757,0.7420462337280066,1707,300,52
KLK1,Normal,0.04864789,279.48129913134653,49,300,53
FTL,Normal,0.048357837,3516.5657692851364,16,300,54
NEAT1,Normal,0.048171543,46.8878419643915,150,300,55
UMOD,Normal,0.04725875,5289.369591562348,13,300,56
GNB2L1,Normal,0.047201816,10.165218469452533,368,300,57
NACA,Normal,0.04699553,46.41356171411054,152,300,58
NDUFC1,Normal,0.046093483,11.297230243377335,345,300,59
MT2A,Normal,0.046057012,330.9639236416394,43,300,60
ECHS1,Normal,0.044919554,6.168068060491741,476,300,61
SGK1,Normal,0.0446995,3.8475145254488865,617,300,62
ZFP36L2,Normal,0.04462936,5.455755006038595,503,300,63
RPS19,Normal,0.04451499,153.52229226365614,74,300,64
TNFRSF12A,Normal,0.044464234,9.065738819763824,396,300,65
UBC,Normal,0.044375006,30.79456438947431,189,300,66
RPS23,Normal,0.04379894,264.8999088317167,52,300,67
TMSB4X,Normal,0.043082178,481.0255099004123,32,300,68
RPL37,Normal,0.042996787,76.94736184850994,117,300,69
XIST,Normal,0.042206246,4.388122820151314,574,300,70
HIST1H4C,Normal,0.041599233,7.912362820362494,419,300,71
RPS12,Normal,0.04089955,426.6690949289262,34,300,72
HLA-B,Normal,0.040741898,38.98807349657869,168,300,73
