latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,condition
1.5410503,1.5984089,-0.5299669,1.6394962,0.18662459,2.008371,0.5677713,-0.78196543,0.93074936,0.9236859,0.039377075,0.17610253,-2.8130221,0.77271736,0.05745732,-0.49383998,0.028869692,-1.264818,0.17628095,0.05212888,2.1502934,0.4045891,0.13135359,1.4510832,0.06874981,2.1079555,0.49633092,-0.628192,0.56802714,1.0563219,0.44985768,1.5386074,AKI
-0.80911225,-4.0279512,-2.5887687,6.423008,-4.3796234,-3.4660552,2.888737,0.18876082,1.1257167,0.048551485,-5.537276,2.9780033,-0.48842508,-1.304255,3.4405851,-5.398309,1.057085,1.5646912,-1.0386615,1.9488032,-0.4199181,4.795781,1.4462126,5.661168,-5.361804,1.770165,2.167884,8.364954,-5.261396,6.8820076,7.4679513,-2.5612473,AKI
-0.38063753,-0.3493787,0.29810685,-1.0878946,1.2586218,-0.9960027,-0.24281913,1.1128144,-0.33123586,-0.056810826,1.2523522,0.98584205,0.024611067,0.44031075,-0.8007494,0.23823617,0.654527,0.74472207,1.5908403,1.7802724,1.7657231,-0.36354026,0.24138021,-0.90009636,-0.089188196,-0.920673,-0.21406779,-0.5848561,-0.5154412,-0.06604937,0.382713,-0.24466422,Normal
-1.5636452,-1.0157325,0.056739688,0.66359997,0.5227561,-1.675505,1.388313,0.60590494,-1.6768984,-0.7521302,0.9162012,0.369948,-1.6365983,-0.39114308,1.4521966,-1.4838864,0.8498557,0.5298776,0.3402444,1.1361903,1.1536144,1.509099,0.8927915,2.076028,-1.2905027,0.17469773,1.6109874,1.7708288,-1.4617311,2.7861755,1.6869817,-0.8258816,AKI
1.3163002,0.7674453,-0.8775666,0.0016822256,0.111026146,0.68905973,0.39045322,-0.43132168,-0.6151571,0.451564,-0.3781362,0.99911726,-0.57125,0.84149843,0.42573306,-0.03601153,0.24257748,0.11606479,1.1792377,0.44977403,1.9871736,0.50844157,0.36143744,0.30829498,0.20784,0.29556102,-0.827007,-0.7532494,0.39900553,0.76086724,-0.14270869,0.09700583,CKD
1.6809512,1.1306295,-1.0726119,2.3065166,0.5093807,2.0146234,2.0828278,-0.662634,1.2581129,2.135868,-1.0674814,1.1803,-2.0080009,1.47442,1.1321257,0.06522694,0.56426436,-0.89427644,-0.81122357,0.413674,1.8870848,0.19744685,-0.6869923,1.485182,-0.868627,1.1230853,0.41300184,-0.040992543,1.3702,1.1415875,1.5713449,1.4788176,AKI
-0.09128645,-0.87193626,-1.6579598,0.8685227,-0.9431457,-0.79824305,0.42854294,-0.14556094,-0.08372978,0.16373509,-1.482892,1.6313329,0.53869736,0.51857173,0.96119606,-1.2840041,0.5916314,0.34648508,0.7011411,0.15371384,0.47472823,1.087749,0.48374337,1.0926719,-1.01424,0.4750697,0.27920356,1.5360855,-0.9179281,2.0002532,1.1139624,-0.93962497,AKI
0.5492126,0.24911086,-0.50662816,-0.20459713,-0.3165124,0.79220706,0.8086261,-1.0108589,-1.159522,0.5550903,-0.681368,1.0956355,0.23678261,0.24050981,1.2979256,-0.3778693,-0.14260983,-0.103380024,0.86971295,-0.039764125,1.331477,0.89903075,0.6305682,0.50365275,-0.076288916,-0.28114098,-0.6633147,-0.30257908,0.89233595,0.8393849,-0.3024678,-0.49924833,CKD
-0.72390944,-2.3991342,-0.68480396,0.45770285,-0.8415352,-2.9638257,-0.35105857,1.4758191,-1.470701,-1.5313103,-0.764603,0.49772966,0.66110915,-0.58478844,0.2920616,-2.135477,1.1364534,1.3657975,1.9911393,1.459959,0.021910414,1.969048,1.0834603,1.0291781,-0.7694227,0.40718418,0.45596355,2.083309,-3.4336426,2.965979,1.3892059,-1.9268973,AKI
-0.78666514,-1.7082736,0.18433064,-0.9451369,1.0166197,-2.2016134,0.24661404,1.8881403,-0.8696704,-0.8875762,1.3954473,0.9897903,0.5043983,-0.010676399,-0.5125168,-0.8354808,1.2323118,1.0759411,1.9923747,2.1290524,1.4159958,0.48482397,0.47242475,-0.18761818,-0.5918957,-1.2469827,0.6987361,0.08161768,-1.8409593,1.1428381,0.49674407,-0.5154796,Normal
